
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
352,,Segment,5,5,Image 1,3,1,100000002,510000000044,
85,,Segment,5,4,Image 1,3,1,100000002,510000000046,
270,,Segment,5,3,Image 1,3,1,100000002,510000000075,
97,,Segment,5,2,Image 1,2,1,100000002,510000000077,
311,,Segment,5,1,Image 1,1,1,100000002,510000000100,
81,,Segment,5,0,Image 1,1,1,100000002,510000000124,
99,,Segment,5,4,Image 1,4,1,100000002,510000000152,
789,,Segment,5,6,Image 1,4,1,100000001,510000000223,
448,,Segment,5,5,Image 1,3,1,100000001,510000000241,
385,,Segment,5,4,Image 1,2,1,100000001,510000000244,
401,,Segment,5,3,Image 1,1,1,100000001,510000000271,
337,,Segment,5,1,Image 1,1,1,100000001,510000000291,
136,,Segment,5,0,Image 1,1,1,100000001,510000000307,
239,,Segment,5,5,Image 1,4,1,100000002,510000000329,
221,,Segment,5,3,Image 1,2,1,100000002,510000000337,
443,,Segment,5,4,Image 1,4,1,100000002,510000000376,
21,,Segment,5,2,Image 1,2,1,100000002,510000000379,
94,,Segment,5,1,Image 1,2,1,100000002,510000000403,
449,,Segment,5,2,Image 1,1,1,100000002,510000000409,
112,,Segment,5,2,Image 1,3,1,100000002,510000000434,
52,,Segment,5,4,Image 1,2,1,100000002,510000000437,
79,,Segment,5,3,Image 1,2,1,100000002,510000000448,
37,,Segment,5,4,Image 1,3,1,100000002,510000000452,
737,,Segment,5,13,Image 1,4,1,100000000,510000000486,
240,,Segment,5,12,Image 1,4,1,100000000,510000000493,
122,,Segment,5,10,Image 1,3,1,100000000,510000000496,
429,,Segment,5,9,Image 1,3,1,100000000,510000000515,
159,,Segment,5,8,Image 1,3,1,100000000,510000000524,
58,,Segment,5,7,Image 1,3,1,100000000,510000000526,
293,,Segment,5,6,Image 1,2,1,100000000,510000000548,
145,,Segment,5,5,Image 1,2,1,100000000,510000000555,
206,,Segment,5,4,Image 1,2,1,100000000,510000000567,
233,,Segment,5,3,Image 1,1,1,100000000,510000000571,
608,,Segment,5,2,Image 1,1,1,100000000,510000000600,
367,,Segment,5,1,Image 1,1,1,100000000,510000000618,
156,,Segment,5,0,Image 1,1,1,100000000,510000000637,
554,,Segment,5,4,Image 1,3,1,100000002,510000000701,
175,,Segment,5,3,Image 1,2,1,100000002,510000000703,
294,,Segment,5,2,Image 1,2,1,100000002,510000000711,
292,,Segment,5,1,Image 1,2,1,100000002,510000000717,
696,,Segment,5,0,Image 1,1,1,100000002,510000000744,
206,,Segment,5,9,Image 1,4,1,100000001,510000000818,
335,,Segment,5,8,Image 1,3,1,100000001,510000000861,
