
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
4.39513e+06,,Surface,3,Image 1,1,0,
1.3429e+06,,Surface,3,Image 1,1,1,
