
Soma Intensity StdDev Ch=2 Img=1
 ==================== 
Soma Intensity StdDev,Unit,Category,Channel,Image,Time,FilamentID,ID,
1.67705,,Soma,2,Image 1,1,100000000,800000000,
1.25929,,Soma,2,Image 1,1,100000001,800000001,
