
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2314.36,19916.4,1471.96,µm,Surface,Position,1,0,
2296.73,19940.8,1472.04,µm,Surface,Position,1,1,
