
Segment Center Intensity Mean Ch=4 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.427184,,Segment,4,0,Image 1,1,1,100000001,510000000123,
0,,Segment,4,5,Image 1,1,1,100000000,510000000177,
0,,Segment,4,4,Image 1,1,1,100000000,510000000188,
0,,Segment,4,3,Image 1,1,1,100000000,510000000195,
0,,Segment,4,2,Image 1,1,1,100000000,510000000277,
0,,Segment,4,1,Image 1,1,1,100000000,510000000303,
0,,Segment,4,0,Image 1,1,1,100000000,510000000317,
0,,Segment,4,4,Image 1,2,1,100000000,510000000393,
0,,Segment,4,5,Image 1,2,1,100000000,510000000417,
0,,Segment,4,4,Image 1,3,1,100000000,510000000424,
0,,Segment,4,3,Image 1,2,1,100000000,510000000450,
0,,Segment,4,4,Image 1,2,1,100000000,510000000454,
0,,Segment,4,6,Image 1,4,1,100000000,510000000486,
0,,Segment,4,5,Image 1,3,1,100000000,510000000506,
0,,Segment,4,4,Image 1,2,1,100000000,510000000517,
0,,Segment,4,3,Image 1,2,1,100000000,510000000535,
0,,Segment,4,2,Image 1,2,1,100000000,510000000537,
0,,Segment,4,1,Image 1,2,1,100000000,510000000544,
0,,Segment,4,0,Image 1,1,1,100000000,510000000582,
0,,Segment,4,7,Image 1,3,1,100000000,510000000614,
0,,Segment,4,6,Image 1,3,1,100000000,510000000619,
0,,Segment,4,7,Image 1,4,1,100000000,510000000622,
0,,Segment,4,5,Image 1,1,1,100000000,510000000639,
0,,Segment,4,4,Image 1,1,1,100000000,510000000649,
0.254545,,Segment,4,3,Image 1,1,1,100000000,510000000703,
0,,Segment,4,2,Image 1,1,1,100000000,510000000707,
7.33333,,Segment,4,1,Image 1,1,1,100000000,510000000745,
0,,Segment,4,0,Image 1,1,1,100000000,510000000756,
0,,Segment,4,5,Image 1,2,1,100000000,510000000765,
0,,Segment,4,4,Image 1,2,1,100000000,510000000780,
0.491525,,Segment,4,3,Image 1,3,1,100000000,510000000841,
0,,Segment,4,2,Image 1,2,1,100000000,510000000896,
0,,Segment,4,1,Image 1,2,1,100000000,510000000938,
6.57143,,Segment,4,3,Image 1,3,1,100000000,510000000978,
0,,Segment,4,3,Image 1,2,1,100000000,510000000986,
0,,Segment,4,5,Image 1,3,1,100000001,510000001034,
0,,Segment,4,4,Image 1,2,1,100000001,510000001047,
0,,Segment,4,3,Image 1,1,1,100000001,510000001073,
0,,Segment,4,2,Image 1,1,1,100000001,510000001077,
0,,Segment,4,1,Image 1,1,1,100000001,510000001114,
0,,Segment,4,0,Image 1,1,1,100000001,510000001150,
3.78,,Segment,4,5,Image 1,2,1,100000001,510000001210,
12.2222,,Segment,4,4,Image 1,1,1,100000001,510000001218,
0,,Segment,4,3,Image 1,2,1,100000001,510000001233,
0,,Segment,4,2,Image 1,2,1,100000001,510000001238,
0,,Segment,4,2,Image 1,2,1,100000000,510000001250,
0,,Segment,4,1,Image 1,1,1,100000000,510000001264,
0,,Segment,4,0,Image 1,1,1,100000000,510000001290,
0,,Segment,4,5,Image 1,2,1,100000000,510000001384,
0,,Segment,4,4,Image 1,2,1,100000000,510000001394,
0,,Segment,4,3,Image 1,1,1,100000000,510000001417,
0,,Segment,4,2,Image 1,1,1,100000000,510000001457,
0,,Segment,4,1,Image 1,1,1,100000000,510000001461,
0,,Segment,4,0,Image 1,1,1,100000000,510000001493,
6.5,,Segment,4,7,Image 1,6,1,100000000,510000001522,
0,,Segment,4,6,Image 1,5,1,100000000,510000001527,
