
Spine Part Volume
 ==================== 
Spine Part Volume Ground,Spine Part Volume Head,Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0156416,0.00333966,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003223,
0.0341418,0.014091,0.0154689,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003234,
0.0419622,0.0135199,0.0214924,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003244,
0.0222515,0.00592187,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003260,
0.0399746,0.020438,0.00757794,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003282,
0.0131733,0.00120925,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003319,
0.0114138,0.0054258,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003325,
0.0395817,0.00112339,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003338,
0.0533339,0.0335456,0.0174284,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003344,
0.0118374,0.00337013,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003355,
0.0325534,0.00691672,0.00852529,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003360,
0.0809593,0.00443936,0.00943072,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003366,
0.0577858,0.0125813,0.0188976,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003395,
0.00670657,0.00112339,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003400,
0.0633007,0.0337267,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003413,
0.0295705,0.0194288,0.0179229,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003417,
0.0277333,0.00466476,0.00844489,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003426,
0.0271241,0.0111685,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003451,
0.0580848,0.0298599,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003463,
0.0778691,0.00694729,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003479,
0.0806498,0.0514435,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003487,
0.0392541,0.0175529,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003511,
0.0253915,0.0127268,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003525,
0.0252566,0.011858,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003603,
0.0177464,0.00566173,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003605,
0.0103516,0.00487029,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003606,
0.0172333,0.00618336,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003607,
0.0231376,0.0107797,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003608,
0.0248347,0.00576491,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003609,
0.0412651,0.0243094,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003649,
0.0181554,0.00277356,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003652,
0.0272906,0.0132511,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003653,
0.0831911,0.0459184,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003654,
0.0180271,0.00399043,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003658,
0.0197741,0.00615411,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003659,
0.020256,0.00602183,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003660,
0.0245102,0.00865768,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003661,
0.00906723,0.00135949,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003664,
0.00668358,0.00166708,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003665,
0.0213434,0.00750036,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003669,
0.029525,0.0128958,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003670,
0.0541045,0.034761,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003671,
0.0253486,0.0160259,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003676,
0.0258258,0.012537,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003677,
0.02233,0.00867942,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003680,
0.0110928,0.00924114,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000003681,
0.0232821,0.00403336,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003357,
0.0141041,0.00112339,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003419,
0.0234489,0.00740513,0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003604,
0.00985872,0.00218759,0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000003668,
0.0253669,0.00898708,0,µm^3,Spine,Spine Part Volume,1,1,1,100000001,610000003675,
0.0181537,0.00176775,0.0049467,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003219,
0.0192206,0.0775538,0.0268722,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003253,
0.0233301,0.0782004,0.0287632,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003277,
0.00994162,0.00140167,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003294,
0.00929281,0.00114221,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003317,
0.028969,0.0210587,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003334,
0.0412524,0.0155418,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003351,
0.0407215,0.00738763,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003369,
0.0691641,0.0401455,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003387,
0.015326,0.0210587,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003391,
0.0688192,0.0288222,0.0261368,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003408,
0.0652885,0.0388066,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003430,
0.0142279,0.00289507,0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000003456,
0.0176552,0.0089299,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003467,
0.0962568,0.0674528,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003481,
0.0925062,0.0417044,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003501,
0.0471773,0.0219591,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003506,
0.019374,0.00615543,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003583,
0.0111019,0.00386894,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003584,
0.0238633,0.00657279,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003585,
0.0479477,0.0231298,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003614,
0.0215481,0.00677977,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003615,
0.0384662,0.0188944,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003618,
0.0326189,0.0189025,0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003619,
0.013615,0.00443201,0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000003666,
0.0377675,0.0195315,0,µm^3,Spine,Spine Part Volume,1,2,1,100000001,610000003667,
0.0278163,0.00379142,0.0114277,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003297,
0.0212213,0.00754041,0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003436,
0.0161159,0.00112339,0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003475,
0.010413,0.00209269,0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003573,
0.0148292,0.00468274,0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003574,
0.0066356,0.00143138,0,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000003648,
0.0231228,0.00112339,0.00336168,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003265,
0.0334886,0.00279422,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003304,
0.0264307,0.00133516,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003375,
0.014912,0.00386207,0.00374484,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003378,
0.0231313,0.00171526,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003433,
0.0120694,0.00216377,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003495,
0.0277811,0.00205544,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003515,
0.0277649,0.00735562,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003601,
0.0108545,0.00149126,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003602,
0.0130158,0.00312404,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003612,
0.00880087,0.0031441,0,µm^3,Spine,Spine Part Volume,2,2,1,100000000,610000003613,
0.017922,0.0050657,0,µm^3,Spine,Spine Part Volume,2,3,1,100000000,610000003384,
0.0124974,0.00571059,0,µm^3,Spine,Spine Part Volume,2,3,1,100000000,610000003453,
0.00288719,0.00112339,0,µm^3,Spine,Spine Part Volume,2,3,1,100000000,610000003637,
0.0310377,0.00639878,0,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000003210,
0.0149375,0.0027589,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003221,
0.0246503,0.00687658,0.0146005,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000003229,
0.0176268,0.00112339,0.00366108,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003309,
0.0137142,0.00136982,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003397,
0.0169476,0.00769212,0.0079931,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000003471,
0.0221918,0.00995446,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003622,
0.0107217,0.00220179,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003623,
0.0175466,0.00388433,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003624,
0.00957863,0.00236282,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003646,
0.0276274,0.00902171,0,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000003647,
0.0231953,0.00790836,0,µm^3,Spine,Spine Part Volume,3,1,1,100000001,610000003674,
0.0442324,0.00672324,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003212,
0.0358813,0.0204595,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003311,
0.0239203,0.00310415,0.0107007,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003330,
0.0236601,0.00675545,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003422,
0.0105652,0.00268363,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003571,
0.0201902,0.00957818,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003572,
0.0246589,0.00842019,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003589,
0.0238823,0.00524159,0,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000003593,
0.00822573,0.00150161,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003238,
0.0393435,0.00112339,0.00763766,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003256,
0.0371028,0.013332,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003322,
0.0130175,0.00379142,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003346,
0.0469922,0.00898708,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003444,
0.00794388,0.00566188,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003576,
0.0046463,0.00194393,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003577,
0.0163411,0.00362582,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003578,
0.0079209,0.0022474,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003579,
0.0163036,0.00687003,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003580,
0.0107778,0.00159951,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003581,
0.0173539,0.00511198,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003582,
0.0387504,0.0138606,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003635,
0.0228227,0.00730473,0,µm^3,Spine,Spine Part Volume,3,3,1,100000000,610000003636,
0.011085,0.00159951,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000003348,
0.0118509,0.00482046,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000003570,
0.0194138,0.00496086,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000003621,
0.0196737,0.0104692,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000003644,
0.0116923,0.00303822,0,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000003645,
0.0133008,0.00375076,0,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000003503,
0.00967086,0.0013194,0,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000003629,
0.0282084,0.0118831,0,µm^3,Spine,Spine Part Volume,4,3,1,100000000,610000003588,
0.0328064,0.0158038,0,µm^3,Spine,Spine Part Volume,4,3,1,100000000,610000003592,
0.0125882,0.0030973,0,µm^3,Spine,Spine Part Volume,4,4,1,100000000,610000003632,
0.0117675,0.00312674,0,µm^3,Spine,Spine Part Volume,4,4,1,100000000,610000003633,
0.0366603,0.0196026,0,µm^3,Spine,Spine Part Volume,4,4,1,100000000,610000003634,
0.0170217,0.00374686,0,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000003216,
0.0248671,0.00621264,0,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000003262,
0.0196712,0.00898708,0,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000003371,
0.0108509,0.00186988,0,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000003497,
0.0141028,0.0056548,0,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000003568,
0.0103618,0.00379142,0,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000003569,
0.0538918,0.025631,0,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000003236,
0.0223532,0.00138284,0.00377839,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000003247,
0.0214802,0.00237061,0,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000003301,
0.0336511,0.0144512,0,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000003448,
