
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-146.186,°,Segment,1,2,1,100000000,510000002565,
41.229,°,Segment,4,4,1,100000000,510000002602,
-27.5012,°,Segment,1,2,1,100000000,510000002610,
-7.46816,°,Segment,2,2,1,100000000,510000002628,
98.1728,°,Segment,3,2,1,100000000,510000002635,
-5.42081,°,Segment,1,2,1,100000000,510000002653,
-37.7976,°,Segment,0,1,1,100000000,510000002660,
28.9036,°,Segment,1,2,1,100000001,510000002709,
-47.7964,°,Segment,0,1,1,100000001,510000002740,
-83.922,°,Segment,1,1,1,100000001,510000002750,
-55.3831,°,Segment,0,1,1,100000001,510000002787,
15.8975,°,Segment,4,3,1,100000000,510000002792,
119.038,°,Segment,5,4,1,100000000,510000002795,
140.961,°,Segment,1,1,1,100000001,510000002805,
88.734,°,Segment,1,2,1,100000001,510000002808,
145.702,°,Segment,0,1,1,100000000,510000002816,
-153.791,°,Segment,1,2,1,100000000,510000002838,
60.0184,°,Segment,0,1,1,100000000,510000002844,
-107.942,°,Segment,1,1,1,100000000,510000002858,
121.422,°,Segment,1,2,1,100000001,510000002865,
-18.3407,°,Segment,2,3,1,100000000,510000002882,
-21.1906,°,Segment,1,1,1,100000000,510000002892,
-171.242,°,Segment,0,1,1,100000000,510000002905,
61.5736,°,Segment,0,1,1,100000001,510000002919,
-103.805,°,Segment,5,2,1,100000000,510000002944,
-125.266,°,Segment,5,3,1,100000000,510000002950,
19.3348,°,Segment,6,2,1,100000000,510000002951,
-95.4857,°,Segment,7,1,1,100000000,510000002952,
52.033,°,Segment,1,2,1,100000000,510000002955,
