
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
9.33965,,Surface,1,Image 1,1,0,
12.2379,,Surface,1,Image 1,1,1,
