
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
97.0399,°,Segment,4,4,1,100000000,510000002602,
24.2544,°,Segment,1,2,1,100000000,510000002610,
44.6031,°,Segment,2,2,1,100000000,510000002628,
56.9211,°,Segment,3,2,1,100000000,510000002635,
63.528,°,Segment,1,2,1,100000000,510000002653,
0,°,Segment,0,1,1,100000000,510000002660,
71.4327,°,Segment,1,2,1,100000001,510000002709,
0,°,Segment,0,1,1,100000001,510000002740,
42.8609,°,Segment,1,1,1,100000001,510000002750,
0,°,Segment,0,1,1,100000001,510000002787,
83.0261,°,Segment,4,3,1,100000000,510000002792,
38.3745,°,Segment,5,4,1,100000000,510000002795,
104.573,°,Segment,1,1,1,100000001,510000002805,
97.5882,°,Segment,1,2,1,100000001,510000002808,
0,°,Segment,0,1,1,100000000,510000002816,
105.053,°,Segment,1,2,1,100000000,510000002838,
0,°,Segment,0,1,1,100000000,510000002844,
67.3133,°,Segment,1,1,1,100000000,510000002858,
85.6445,°,Segment,1,2,1,100000001,510000002865,
64.4264,°,Segment,2,3,1,100000000,510000002882,
54.3157,°,Segment,1,1,1,100000000,510000002892,
0,°,Segment,0,1,1,100000000,510000002905,
0,°,Segment,0,1,1,100000001,510000002919,
8.75854,°,Segment,5,2,1,100000000,510000002944,
99.3055,°,Segment,5,3,1,100000000,510000002950,
13.6144,°,Segment,6,2,1,100000000,510000002951,
92.8946,°,Segment,7,1,1,100000000,510000002952,
28.2767,°,Segment,1,2,1,100000000,510000002955,
