
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
19916.1,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19916.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19916.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19916.7,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19916.7,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19941,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19940.9,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19941,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19940.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19940.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
