
Spine Intensity StdDev Ch=1 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
11.4381,,Spine,1,3,Image 1,2,1,100000000,610000003571,
14.3812,,Spine,1,3,Image 1,2,1,100000000,610000003572,
9.93989,,Spine,1,2,Image 1,1,1,100000000,610000003573,
21.6906,,Spine,1,2,Image 1,1,1,100000000,610000003574,
11.9889,,Spine,1,6,Image 1,3,1,100000000,610000003575,
13.866,,Spine,1,3,Image 1,3,1,100000000,610000003576,
16.6987,,Spine,1,3,Image 1,3,1,100000000,610000003577,
17.516,,Spine,1,3,Image 1,3,1,100000000,610000003578,
19.1239,,Spine,1,3,Image 1,3,1,100000000,610000003579,
16.5637,,Spine,1,3,Image 1,3,1,100000000,610000003580,
19.184,,Spine,1,3,Image 1,3,1,100000000,610000003581,
17.1911,,Spine,1,3,Image 1,3,1,100000000,610000003582,
19.221,,Spine,1,1,Image 1,2,1,100000000,610000003583,
33.2982,,Spine,1,1,Image 1,2,1,100000000,610000003584,
21.7977,,Spine,1,1,Image 1,2,1,100000000,610000003585,
12.3056,,Spine,1,6,Image 1,4,1,100000000,610000003586,
9.38542,,Spine,1,5,Image 1,3,1,100000000,610000003587,
18.7984,,Spine,1,4,Image 1,3,1,100000000,610000003588,
18.9011,,Spine,1,3,Image 1,2,1,100000000,610000003589,
18.1896,,Spine,1,7,Image 1,6,1,100000000,610000003590,
7.65189,,Spine,1,6,Image 1,5,1,100000000,610000003591,
25.6431,,Spine,1,4,Image 1,3,1,100000000,610000003592,
15.5845,,Spine,1,3,Image 1,2,1,100000000,610000003593,
16.0494,,Spine,1,7,Image 1,2,1,100000000,610000003594,
21.5097,,Spine,1,7,Image 1,2,1,100000000,610000003595,
16.5744,,Spine,1,6,Image 1,3,1,100000000,610000003596,
20.514,,Spine,1,6,Image 1,2,1,100000000,610000003597,
20.4116,,Spine,1,6,Image 1,2,1,100000000,610000003598,
19.3335,,Spine,1,7,Image 1,2,1,100000000,610000003599,
39.3499,,Spine,1,8,Image 1,1,1,100000000,610000003600,
15.9859,,Spine,1,2,Image 1,2,1,100000000,610000003601,
15.0416,,Spine,1,2,Image 1,2,1,100000000,610000003602,
20.0524,,Spine,1,0,Image 1,1,1,100000000,610000003603,
13.074,,Spine,1,1,Image 1,1,1,100000000,610000003604,
13.0635,,Spine,1,0,Image 1,1,1,100000000,610000003605,
42.9854,,Spine,1,0,Image 1,1,1,100000000,610000003606,
21.5217,,Spine,1,0,Image 1,1,1,100000000,610000003607,
32.6492,,Spine,1,0,Image 1,1,1,100000000,610000003608,
