
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
9.3803,,Surface,4,Image 1,1,0,
5.62333,,Surface,4,Image 1,1,1,
