
Spine Terminal Pt Position Y
 ==================== 
Spine Terminal Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
18577.3,µm,Spine,Spine Terminal Pt Position,,,1,,610000000420,
18579.9,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000000433,
18580.7,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000000436,
18580.1,µm,Spine,Spine Terminal Pt Position,3,1,1,100000000,610000000441,
18580.8,µm,Spine,Spine Terminal Pt Position,5,1,1,100000000,610000000443,
18577.4,µm,Spine,Spine Terminal Pt Position,,,1,,610000000445,
18580.6,µm,Spine,Spine Terminal Pt Position,3,1,1,100000000,610000000451,
18581,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000000454,
18575.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000000456,
18581.3,µm,Spine,Spine Terminal Pt Position,3,1,1,100000000,610000000465,
18575.4,µm,Spine,Spine Terminal Pt Position,,,1,,610000000467,
18581.3,µm,Spine,Spine Terminal Pt Position,5,1,1,100000000,610000000474,
18580.3,µm,Spine,Spine Terminal Pt Position,3,1,1,100000000,610000000477,
18580.2,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000000480,
18580.8,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000000482,
18580,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000000491,
18581.3,µm,Spine,Spine Terminal Pt Position,3,1,1,100000000,610000000498,
18580.4,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000000508,
18580,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000000511,
18579.1,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000000539,
18580.3,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000000540,
18582.1,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000000541,
18580.1,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000000542,
18581.5,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000000543,
18581.7,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000000544,
18581.2,µm,Spine,Spine Terminal Pt Position,5,2,1,,610000000545,
18580.7,µm,Spine,Spine Terminal Pt Position,5,1,1,,610000000546,
18580.7,µm,Spine,Spine Terminal Pt Position,5,1,1,,610000000547,
18580.8,µm,Spine,Spine Terminal Pt Position,5,1,1,,610000000548,
18582,µm,Spine,Spine Terminal Pt Position,5,1,1,,610000000549,
18578.6,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000000550,
18578.4,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000000551,
18575.2,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000000552,
18575.9,µm,Spine,Spine Terminal Pt Position,,,1,,610000000553,
