
Soma BoundingBoxOO Length B
 ==================== 
Soma BoundingBoxOO Length B,Unit,Category,Collection,Time,FilamentID,ID,
3.11523,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
2.4209,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
1.24023,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
