
Spine Center Number of Voxel Ch=1 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
18,,Spine,1,1,Image 1,2,1,100000000,610000001992,
11,,Spine,1,1,Image 1,2,1,100000000,610000002002,
2,,Spine,1,1,Image 1,2,1,100000000,610000002004,
7,,Spine,1,1,Image 1,2,1,100000002,610000002011,
4,,Spine,1,1,Image 1,2,1,100000000,610000002014,
6,,Spine,1,2,Image 1,1,1,100000000,610000002019,
6,,Spine,1,1,Image 1,2,1,100000000,610000002024,
6,,Spine,1,5,Image 1,2,1,100000001,610000002030,
5,,Spine,1,1,Image 1,2,1,100000000,610000002034,
5,,Spine,1,1,Image 1,2,1,100000002,610000002039,
3,,Spine,1,4,Image 1,1,1,100000001,610000002041,
5,,Spine,1,1,Image 1,2,1,100000000,610000002045,
3,,Spine,1,2,Image 1,3,1,100000001,610000002048,
4,,Spine,1,2,Image 1,3,1,100000001,610000002052,
3,,Spine,1,4,Image 1,2,1,100000000,610000002054,
3,,Spine,1,5,Image 1,3,1,100000001,610000002056,
5,,Spine,1,3,Image 1,2,1,100000001,610000002060,
3,,Spine,1,6,Image 1,5,1,100000001,610000002062,
4,,Spine,1,5,Image 1,2,1,100000001,610000002065,
2,,Spine,1,1,Image 1,2,1,100000000,610000002067,
3,,Spine,1,4,Image 1,3,1,100000001,610000002070,
4,,Spine,1,1,Image 1,2,1,100000002,610000002074,
4,,Spine,1,2,Image 1,3,1,100000001,610000002077,
3,,Spine,1,2,Image 1,1,1,100000000,610000002079,
4,,Spine,1,2,Image 1,3,1,100000001,610000002082,
5,,Spine,1,1,Image 1,2,1,100000001,610000002087,
2,,Spine,1,12,Image 1,7,1,100000001,610000002089,
2,,Spine,1,1,Image 1,2,1,100000000,610000002092,
3,,Spine,1,3,Image 1,2,1,100000001,610000002094,
3,,Spine,1,2,Image 1,3,1,100000001,610000002097,
2,,Spine,1,12,Image 1,7,1,100000001,610000002100,
3,,Spine,1,1,Image 1,2,1,100000000,610000002102,
3,,Spine,1,3,Image 1,2,1,100000002,610000002104,
3,,Spine,1,2,Image 1,1,1,100000000,610000002107,
4,,Spine,1,4,Image 1,2,1,100000001,610000002110,
3,,Spine,1,4,Image 1,2,1,100000001,610000002112,
3,,Spine,1,3,Image 1,2,1,100000002,610000002115,
2,,Spine,1,12,Image 1,7,1,100000001,610000002117,
2,,Spine,1,12,Image 1,7,1,100000001,610000002123,
3,,Spine,1,3,Image 1,2,1,100000001,610000002130,
3,,Spine,1,1,Image 1,2,1,100000001,610000002133,
3,,Spine,1,2,Image 1,3,1,100000001,610000002136,
3,,Spine,1,4,Image 1,2,1,100000001,610000002141,
3,,Spine,1,1,Image 1,2,1,100000002,610000002144,
3,,Spine,1,2,Image 1,3,1,100000001,610000002149,
3,,Spine,1,3,Image 1,2,1,100000002,610000002153,
2,,Spine,1,12,Image 1,7,1,100000001,610000002158,
3,,Spine,1,1,Image 1,2,1,100000002,610000002169,
2,,Spine,1,12,Image 1,7,1,100000001,610000002172,
