
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
14,,Segment,4,6,Image 1,4,1,100000002,510000000024,
9,,Segment,4,5,Image 1,3,1,100000002,510000000032,
15,,Segment,4,4,Image 1,2,1,100000002,510000000046,
24,,Segment,4,3,Image 1,2,1,100000002,510000000069,
4,,Segment,4,2,Image 1,1,1,100000002,510000000072,
9,,Segment,4,1,Image 1,1,1,100000002,510000000080,
5,,Segment,4,0,Image 1,1,1,100000002,510000000086,
16,,Segment,4,7,Image 1,4,1,100000002,510000000101,
48,,Segment,4,6,Image 1,3,1,100000002,510000000148,
37,,Segment,4,5,Image 1,2,1,100000002,510000000184,
14,,Segment,4,7,Image 1,3,1,100000002,510000000197,
35,,Segment,4,1,Image 1,2,1,100000002,510000000231,
4,,Segment,4,4,Image 1,3,1,100000002,510000000234,
23,,Segment,4,1,Image 1,2,1,100000002,510000000256,
23,,Segment,4,0,Image 1,1,1,100000002,510000000294,
22,,Segment,4,4,Image 1,3,1,100000000,510000000329,
14,,Segment,4,3,Image 1,2,1,100000000,510000000342,
72,,Segment,4,2,Image 1,2,1,100000000,510000000413,
12,,Segment,4,1,Image 1,1,1,100000000,510000000424,
3,,Segment,4,0,Image 1,1,1,100000000,510000000450,
6,,Segment,4,4,Image 1,2,1,100000000,510000000463,
11,,Segment,4,3,Image 1,3,1,100000000,510000000473,
4,,Segment,4,1,Image 1,1,1,100000002,510000000476,
31,,Segment,4,4,Image 1,4,1,100000001,510000000506,
16,,Segment,4,3,Image 1,3,1,100000001,510000000521,
40,,Segment,4,2,Image 1,3,1,100000001,510000000560,
23,,Segment,4,1,Image 1,2,1,100000001,510000000582,
7,,Segment,4,0,Image 1,1,1,100000001,510000000593,
18,,Segment,4,4,Image 1,3,1,100000001,510000000631,
30,,Segment,4,3,Image 1,4,1,100000001,510000000660,
9,,Segment,4,12,Image 1,8,1,100000001,510000000668,
9,,Segment,4,11,Image 1,7,1,100000001,510000000676,
11,,Segment,4,10,Image 1,7,1,100000001,510000000686,
