
Spine Position Y
 ==================== 
Spine Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
16037.4,µm,Spine,Spine Position,1,2,1,100000000,610000001992,
16037.5,µm,Spine,Spine Position,1,2,1,100000000,610000002002,
16041.3,µm,Spine,Spine Position,2,1,1,100000000,610000002004,
16066.2,µm,Spine,Spine Position,3,2,1,100000002,610000002011,
16037.9,µm,Spine,Spine Position,1,2,1,100000000,610000002014,
16035.9,µm,Spine,Spine Position,2,1,1,100000000,610000002019,
16037.5,µm,Spine,Spine Position,1,2,1,100000000,610000002024,
16044.3,µm,Spine,Spine Position,5,2,1,100000001,610000002030,
16037.6,µm,Spine,Spine Position,1,2,1,100000000,610000002034,
16066.1,µm,Spine,Spine Position,3,2,1,100000002,610000002039,
16045.7,µm,Spine,Spine Position,4,1,1,100000001,610000002041,
16037.5,µm,Spine,Spine Position,1,2,1,100000000,610000002045,
16048.6,µm,Spine,Spine Position,2,3,1,100000001,610000002048,
16052.2,µm,Spine,Spine Position,2,3,1,100000001,610000002052,
16031.4,µm,Spine,Spine Position,4,2,1,100000000,610000002054,
16044.8,µm,Spine,Spine Position,5,3,1,100000001,610000002056,
16048.5,µm,Spine,Spine Position,3,2,1,100000001,610000002060,
16054.1,µm,Spine,Spine Position,6,5,1,100000001,610000002062,
16044.4,µm,Spine,Spine Position,5,2,1,100000001,610000002065,
16038.1,µm,Spine,Spine Position,2,1,1,100000000,610000002067,
16055,µm,Spine,Spine Position,4,3,1,100000001,610000002070,
16066.1,µm,Spine,Spine Position,3,2,1,100000002,610000002074,
16052.1,µm,Spine,Spine Position,2,3,1,100000001,610000002077,
16036,µm,Spine,Spine Position,2,1,1,100000000,610000002079,
16051.9,µm,Spine,Spine Position,2,3,1,100000001,610000002082,
16048.4,µm,Spine,Spine Position,1,2,1,100000001,610000002087,
16049.2,µm,Spine,Spine Position,12,7,1,100000001,610000002089,
16037.9,µm,Spine,Spine Position,2,1,1,100000000,610000002092,
16048.5,µm,Spine,Spine Position,3,2,1,100000001,610000002094,
16048.4,µm,Spine,Spine Position,2,3,1,100000001,610000002097,
16048.6,µm,Spine,Spine Position,12,7,1,100000001,610000002100,
16037.6,µm,Spine,Spine Position,1,2,1,100000000,610000002102,
16064.8,µm,Spine,Spine Position,3,2,1,100000002,610000002104,
16036,µm,Spine,Spine Position,2,1,1,100000000,610000002107,
16045.8,µm,Spine,Spine Position,4,2,1,100000001,610000002110,
16045.9,µm,Spine,Spine Position,4,2,1,100000001,610000002112,
16064.6,µm,Spine,Spine Position,3,2,1,100000002,610000002115,
16048.2,µm,Spine,Spine Position,12,7,1,100000001,610000002117,
16049.5,µm,Spine,Spine Position,12,7,1,100000001,610000002123,
16048.5,µm,Spine,Spine Position,3,2,1,100000001,610000002130,
16048.3,µm,Spine,Spine Position,1,2,1,100000001,610000002133,
16052.1,µm,Spine,Spine Position,2,3,1,100000001,610000002136,
16046.4,µm,Spine,Spine Position,4,2,1,100000001,610000002141,
16066.1,µm,Spine,Spine Position,1,2,1,100000002,610000002144,
16052,µm,Spine,Spine Position,2,3,1,100000001,610000002149,
16064.8,µm,Spine,Spine Position,3,2,1,100000002,610000002153,
16049.6,µm,Spine,Spine Position,12,7,1,100000001,610000002158,
16066,µm,Spine,Spine Position,1,2,1,100000002,610000002169,
16048.3,µm,Spine,Spine Position,12,7,1,100000001,610000002172,
16036.1,µm,Spine,Spine Position,2,1,1,100000000,610000002206,
16036.1,µm,Spine,Spine Position,2,1,1,100000000,610000002207,
16036.1,µm,Spine,Spine Position,2,1,1,100000000,610000002208,
16036.1,µm,Spine,Spine Position,2,1,1,100000000,610000002209,
16036.2,µm,Spine,Spine Position,2,1,1,100000000,610000002210,
16036.2,µm,Spine,Spine Position,2,1,1,100000000,610000002211,
16037.1,µm,Spine,Spine Position,1,1,1,100000000,610000002212,
16037.1,µm,Spine,Spine Position,1,1,1,100000000,610000002213,
16037.4,µm,Spine,Spine Position,1,1,1,100000000,610000002214,
16038,µm,Spine,Spine Position,1,2,1,100000000,610000002215,
16055,µm,Spine,Spine Position,4,3,1,100000001,610000002219,
16055,µm,Spine,Spine Position,4,3,1,100000001,610000002220,
16055,µm,Spine,Spine Position,4,3,1,100000001,610000002221,
16052.2,µm,Spine,Spine Position,2,3,1,100000001,610000002222,
16052.1,µm,Spine,Spine Position,2,3,1,100000001,610000002223,
16052.1,µm,Spine,Spine Position,2,3,1,100000001,610000002224,
16050.8,µm,Spine,Spine Position,4,3,1,100000001,610000002225,
16050.3,µm,Spine,Spine Position,4,2,1,100000001,610000002226,
16045.7,µm,Spine,Spine Position,4,1,1,100000001,610000002227,
16046.2,µm,Spine,Spine Position,4,1,1,100000001,610000002228,
16047.8,µm,Spine,Spine Position,2,2,1,100000001,610000002229,
16047.7,µm,Spine,Spine Position,1,1,1,100000001,610000002230,
16048.6,µm,Spine,Spine Position,0,1,1,100000001,610000002231,
16064.5,µm,Spine,Spine Position,12,7,1,100000001,610000002244,
16064.1,µm,Spine,Spine Position,11,7,1,100000001,610000002245,
16056.5,µm,Spine,Spine Position,7,4,1,100000001,610000002246,
16052.9,µm,Spine,Spine Position,5,4,1,100000001,610000002247,
16050.7,µm,Spine,Spine Position,4,4,1,100000001,610000002248,
16050,µm,Spine,Spine Position,3,4,1,100000001,610000002249,
16050,µm,Spine,Spine Position,3,4,1,100000001,610000002250,
16044.5,µm,Spine,Spine Position,5,2,1,100000001,610000002251,
16045,µm,Spine,Spine Position,5,2,1,100000001,610000002252,
16045.8,µm,Spine,Spine Position,4,2,1,100000001,610000002253,
16047.1,µm,Spine,Spine Position,4,2,1,100000001,610000002254,
16047.5,µm,Spine,Spine Position,3,2,1,100000001,610000002255,
16048.3,µm,Spine,Spine Position,3,2,1,100000001,610000002256,
16048.4,µm,Spine,Spine Position,3,2,1,100000001,610000002257,
16048.4,µm,Spine,Spine Position,3,2,1,100000001,610000002258,
16048.4,µm,Spine,Spine Position,3,2,1,100000001,610000002259,
16048.6,µm,Spine,Spine Position,1,2,1,100000001,610000002260,
16048.1,µm,Spine,Spine Position,1,2,1,100000001,610000002261,
16048.2,µm,Spine,Spine Position,1,2,1,100000001,610000002262,
16048.4,µm,Spine,Spine Position,1,2,1,100000001,610000002263,
16049,µm,Spine,Spine Position,1,1,1,100000001,610000002264,
16064.3,µm,Spine,Spine Position,3,2,1,100000002,610000002272,
16064.6,µm,Spine,Spine Position,3,2,1,100000002,610000002273,
16064.7,µm,Spine,Spine Position,3,2,1,100000002,610000002274,
16065.1,µm,Spine,Spine Position,3,2,1,100000002,610000002275,
16065.3,µm,Spine,Spine Position,3,1,1,100000002,610000002276,
16065.3,µm,Spine,Spine Position,3,1,1,100000002,610000002277,
16065.4,µm,Spine,Spine Position,1,1,1,100000002,610000002278,
16065.8,µm,Spine,Spine Position,1,2,1,100000002,610000002279,
16066,µm,Spine,Spine Position,1,2,1,100000002,610000002280,
