
Spine Center Intensity Mean Ch=4 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
29.1667,,Spine,4,1,Image 1,2,1,100000000,610000001992,
30.5455,,Spine,4,1,Image 1,2,1,100000000,610000002002,
27.5,,Spine,4,1,Image 1,2,1,100000000,610000002004,
35.5714,,Spine,4,1,Image 1,2,1,100000002,610000002011,
15.75,,Spine,4,1,Image 1,2,1,100000000,610000002014,
31.5,,Spine,4,2,Image 1,1,1,100000000,610000002019,
38.8333,,Spine,4,1,Image 1,2,1,100000000,610000002024,
37.3333,,Spine,4,5,Image 1,2,1,100000001,610000002030,
29.2,,Spine,4,1,Image 1,2,1,100000000,610000002034,
36.4,,Spine,4,1,Image 1,2,1,100000002,610000002039,
41,,Spine,4,4,Image 1,1,1,100000001,610000002041,
36.8,,Spine,4,1,Image 1,2,1,100000000,610000002045,
26.3333,,Spine,4,2,Image 1,3,1,100000001,610000002048,
46.75,,Spine,4,2,Image 1,3,1,100000001,610000002052,
21.3333,,Spine,4,4,Image 1,2,1,100000000,610000002054,
36,,Spine,4,5,Image 1,3,1,100000001,610000002056,
50.2,,Spine,4,3,Image 1,2,1,100000001,610000002060,
23,,Spine,4,6,Image 1,5,1,100000001,610000002062,
38,,Spine,4,5,Image 1,2,1,100000001,610000002065,
37.5,,Spine,4,1,Image 1,2,1,100000000,610000002067,
45.6667,,Spine,4,4,Image 1,3,1,100000001,610000002070,
42.25,,Spine,4,1,Image 1,2,1,100000002,610000002074,
78.5,,Spine,4,2,Image 1,3,1,100000001,610000002077,
45.3333,,Spine,4,2,Image 1,1,1,100000000,610000002079,
45.25,,Spine,4,2,Image 1,3,1,100000001,610000002082,
44.2,,Spine,4,1,Image 1,2,1,100000001,610000002087,
44,,Spine,4,12,Image 1,7,1,100000001,610000002089,
43,,Spine,4,1,Image 1,2,1,100000000,610000002092,
47,,Spine,4,3,Image 1,2,1,100000001,610000002094,
51,,Spine,4,2,Image 1,3,1,100000001,610000002097,
50.5,,Spine,4,12,Image 1,7,1,100000001,610000002100,
36.3333,,Spine,4,1,Image 1,2,1,100000000,610000002102,
42.3333,,Spine,4,3,Image 1,2,1,100000002,610000002104,
46,,Spine,4,2,Image 1,1,1,100000000,610000002107,
38,,Spine,4,4,Image 1,2,1,100000001,610000002110,
35.6667,,Spine,4,4,Image 1,2,1,100000001,610000002112,
39.3333,,Spine,4,3,Image 1,2,1,100000002,610000002115,
35,,Spine,4,12,Image 1,7,1,100000001,610000002117,
62.5,,Spine,4,12,Image 1,7,1,100000001,610000002123,
80,,Spine,4,3,Image 1,2,1,100000001,610000002130,
58.3333,,Spine,4,1,Image 1,2,1,100000001,610000002133,
56.6667,,Spine,4,2,Image 1,3,1,100000001,610000002136,
36.6667,,Spine,4,4,Image 1,2,1,100000001,610000002141,
29,,Spine,4,1,Image 1,2,1,100000002,610000002144,
51.6667,,Spine,4,2,Image 1,3,1,100000001,610000002149,
24.3333,,Spine,4,3,Image 1,2,1,100000002,610000002153,
65.5,,Spine,4,12,Image 1,7,1,100000001,610000002158,
36.6667,,Spine,4,1,Image 1,2,1,100000002,610000002169,
33,,Spine,4,12,Image 1,7,1,100000001,610000002172,
50.5,,Spine,4,2,Image 1,1,1,100000000,610000002206,
62,,Spine,4,2,Image 1,1,1,100000000,610000002207,
51.5,,Spine,4,2,Image 1,1,1,100000000,610000002208,
45,,Spine,4,2,Image 1,1,1,100000000,610000002209,
32.5,,Spine,4,2,Image 1,1,1,100000000,610000002210,
34,,Spine,4,2,Image 1,1,1,100000000,610000002211,
26,,Spine,4,1,Image 1,1,1,100000000,610000002212,
