
Spine Number of Voxel Ch=3 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
65,,Spine,3,1,Image 1,2,1,100000000,610000001992,
48,,Spine,3,1,Image 1,2,1,100000000,610000002002,
41,,Spine,3,1,Image 1,2,1,100000000,610000002004,
29,,Spine,3,1,Image 1,2,1,100000002,610000002011,
52,,Spine,3,1,Image 1,2,1,100000000,610000002014,
286,,Spine,3,2,Image 1,1,1,100000000,610000002019,
42,,Spine,3,1,Image 1,2,1,100000000,610000002024,
74,,Spine,3,5,Image 1,2,1,100000001,610000002030,
50,,Spine,3,1,Image 1,2,1,100000000,610000002034,
24,,Spine,3,1,Image 1,2,1,100000002,610000002039,
70,,Spine,3,4,Image 1,1,1,100000001,610000002041,
34,,Spine,3,1,Image 1,2,1,100000000,610000002045,
92,,Spine,3,2,Image 1,3,1,100000001,610000002048,
56,,Spine,3,2,Image 1,3,1,100000001,610000002052,
81,,Spine,3,4,Image 1,2,1,100000000,610000002054,
62,,Spine,3,5,Image 1,3,1,100000001,610000002056,
214,,Spine,3,3,Image 1,2,1,100000001,610000002060,
52,,Spine,3,6,Image 1,5,1,100000001,610000002062,
59,,Spine,3,5,Image 1,2,1,100000001,610000002065,
140,,Spine,3,1,Image 1,2,1,100000000,610000002067,
89,,Spine,3,4,Image 1,3,1,100000001,610000002070,
13,,Spine,3,1,Image 1,2,1,100000002,610000002074,
50,,Spine,3,2,Image 1,3,1,100000001,610000002077,
250,,Spine,3,2,Image 1,1,1,100000000,610000002079,
53,,Spine,3,2,Image 1,3,1,100000001,610000002082,
69,,Spine,3,1,Image 1,2,1,100000001,610000002087,
226,,Spine,3,12,Image 1,7,1,100000001,610000002089,
285,,Spine,3,1,Image 1,2,1,100000000,610000002092,
116,,Spine,3,3,Image 1,2,1,100000001,610000002094,
267,,Spine,3,2,Image 1,3,1,100000001,610000002097,
104,,Spine,3,12,Image 1,7,1,100000001,610000002100,
37,,Spine,3,1,Image 1,2,1,100000000,610000002102,
142,,Spine,3,3,Image 1,2,1,100000002,610000002104,
223,,Spine,3,2,Image 1,1,1,100000000,610000002107,
117,,Spine,3,4,Image 1,2,1,100000001,610000002110,
123,,Spine,3,4,Image 1,2,1,100000001,610000002112,
140,,Spine,3,3,Image 1,2,1,100000002,610000002115,
43,,Spine,3,12,Image 1,7,1,100000001,610000002117,
30,,Spine,3,12,Image 1,7,1,100000001,610000002123,
248,,Spine,3,3,Image 1,2,1,100000001,610000002130,
54,,Spine,3,1,Image 1,2,1,100000001,610000002133,
69,,Spine,3,2,Image 1,3,1,100000001,610000002136,
152,,Spine,3,4,Image 1,2,1,100000001,610000002141,
43,,Spine,3,1,Image 1,2,1,100000002,610000002144,
41,,Spine,3,2,Image 1,3,1,100000001,610000002149,
134,,Spine,3,3,Image 1,2,1,100000002,610000002153,
57,,Spine,3,12,Image 1,7,1,100000001,610000002158,
74,,Spine,3,1,Image 1,2,1,100000002,610000002169,
38,,Spine,3,12,Image 1,7,1,100000001,610000002172,
223,,Spine,3,2,Image 1,1,1,100000000,610000002206,
143,,Spine,3,2,Image 1,1,1,100000000,610000002207,
347,,Spine,3,2,Image 1,1,1,100000000,610000002208,
227,,Spine,3,2,Image 1,1,1,100000000,610000002209,
228,,Spine,3,2,Image 1,1,1,100000000,610000002210,
158,,Spine,3,2,Image 1,1,1,100000000,610000002211,
112,,Spine,3,1,Image 1,1,1,100000000,610000002212,
111,,Spine,3,1,Image 1,1,1,100000000,610000002213,
69,,Spine,3,1,Image 1,1,1,100000000,610000002214,
46,,Spine,3,1,Image 1,2,1,100000000,610000002215,
132,,Spine,3,4,Image 1,3,1,100000001,610000002219,
87,,Spine,3,4,Image 1,3,1,100000001,610000002220,
86,,Spine,3,4,Image 1,3,1,100000001,610000002221,
73,,Spine,3,2,Image 1,3,1,100000001,610000002222,
52,,Spine,3,2,Image 1,3,1,100000001,610000002223,
54,,Spine,3,2,Image 1,3,1,100000001,610000002224,
47,,Spine,3,4,Image 1,3,1,100000001,610000002225,
101,,Spine,3,4,Image 1,2,1,100000001,610000002226,
61,,Spine,3,4,Image 1,1,1,100000001,610000002227,
68,,Spine,3,4,Image 1,1,1,100000001,610000002228,
32,,Spine,3,2,Image 1,2,1,100000001,610000002229,
103,,Spine,3,1,Image 1,1,1,100000001,610000002230,
72,,Spine,3,0,Image 1,1,1,100000001,610000002231,
51,,Spine,3,12,Image 1,7,1,100000001,610000002244,
88,,Spine,3,11,Image 1,7,1,100000001,610000002245,
70,,Spine,3,7,Image 1,4,1,100000001,610000002246,
50,,Spine,3,5,Image 1,4,1,100000001,610000002247,
50,,Spine,3,4,Image 1,4,1,100000001,610000002248,
67,,Spine,3,3,Image 1,4,1,100000001,610000002249,
44,,Spine,3,3,Image 1,4,1,100000001,610000002250,
70,,Spine,3,5,Image 1,2,1,100000001,610000002251,
96,,Spine,3,5,Image 1,2,1,100000001,610000002252,
104,,Spine,3,4,Image 1,2,1,100000001,610000002253,
122,,Spine,3,4,Image 1,2,1,100000001,610000002254,
81,,Spine,3,3,Image 1,2,1,100000001,610000002255,
354,,Spine,3,3,Image 1,2,1,100000001,610000002256,
117,,Spine,3,3,Image 1,2,1,100000001,610000002257,
98,,Spine,3,3,Image 1,2,1,100000001,610000002258,
510,,Spine,3,3,Image 1,2,1,100000001,610000002259,
121,,Spine,3,1,Image 1,2,1,100000001,610000002260,
35,,Spine,3,1,Image 1,2,1,100000001,610000002261,
50,,Spine,3,1,Image 1,2,1,100000001,610000002262,
46,,Spine,3,1,Image 1,2,1,100000001,610000002263,
80,,Spine,3,1,Image 1,1,1,100000001,610000002264,
116,,Spine,3,3,Image 1,2,1,100000002,610000002272,
141,,Spine,3,3,Image 1,2,1,100000002,610000002273,
90,,Spine,3,3,Image 1,2,1,100000002,610000002274,
254,,Spine,3,3,Image 1,2,1,100000002,610000002275,
68,,Spine,3,3,Image 1,1,1,100000002,610000002276,
72,,Spine,3,3,Image 1,1,1,100000002,610000002277,
100,,Spine,3,1,Image 1,1,1,100000002,610000002278,
22,,Spine,3,1,Image 1,2,1,100000002,610000002279,
51,,Spine,3,1,Image 1,2,1,100000002,610000002280,
