
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-16698.6,20113,1474.6,µm,Surface,Position,1,0,
-16655.7,20146,1474.12,µm,Surface,Position,1,1,
