
Soma Intensity Sum Ch=5 Img=1
 ==================== 
Soma Intensity Sum,Unit,Category,Channel,Image,Time,FilamentID,ID,
51112,,Soma,5,Image 1,1,100000002,800000660,
30930,,Soma,5,Image 1,1,100000003,800000661,
