
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
9.92543,,Surface,4,Image 1,1,0,
10.0641,,Surface,4,Image 1,1,1,
