
Soma Ellipsoid Axis Length B
 ==================== 
Soma Ellipsoid Axis Length B,Unit,Category,Time,FilamentID,ID,
3.15423,µm,Soma,1,100000002,800000660,
3.8022,µm,Soma,1,100000003,800000661,
