
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8,,Segment,4,12,Image 1,6,1,100000003,510000008624,
3,,Segment,4,13,Image 1,6,1,100000003,510000008626,
6,,Segment,4,10,Image 1,6,1,100000003,510000008631,
3,,Segment,4,11,Image 1,6,1,100000003,510000008633,
33,,Segment,4,9,Image 1,7,1,100000002,510000008665,
28,,Segment,4,8,Image 1,6,1,100000002,510000008692,
9,,Segment,4,11,Image 1,4,1,100000003,510000008700,
37,,Segment,4,7,Image 1,4,1,100000003,510000008754,
18,,Segment,4,6,Image 1,3,1,100000003,510000008771,
7,,Segment,4,5,Image 1,3,1,100000003,510000008777,
31,,Segment,4,4,Image 1,3,1,100000003,510000008807,
32,,Segment,4,3,Image 1,2,1,100000003,510000008838,
9,,Segment,4,12,Image 1,6,1,100000003,510000008846,
4,,Segment,4,11,Image 1,5,1,100000003,510000008849,
3,,Segment,4,12,Image 1,5,1,100000003,510000008851,
24,,Segment,4,12,Image 1,3,1,100000002,510000008877,
37,,Segment,4,11,Image 1,3,1,100000002,510000008913,
8,,Segment,4,10,Image 1,2,1,100000002,510000008920,
6,,Segment,4,9,Image 1,2,1,100000002,510000008925,
15,,Segment,4,8,Image 1,2,1,100000002,510000008939,
11,,Segment,4,7,Image 1,2,1,100000002,510000008949,
35,,Segment,4,6,Image 1,2,1,100000002,510000008983,
5,,Segment,4,4,Image 1,2,1,100000002,510000008988,
9,,Segment,4,3,Image 1,2,1,100000002,510000008996,
10,,Segment,4,2,Image 1,2,1,100000002,510000009005,
6,,Segment,4,1,Image 1,2,1,100000002,510000009010,
5,,Segment,4,7,Image 1,3,1,100000003,510000009014,
3,,Segment,4,6,Image 1,4,1,100000003,510000009016,
35,,Segment,4,0,Image 1,1,1,100000003,510000009060,
7,,Segment,4,6,Image 1,5,1,100000002,510000009073,
4,,Segment,4,5,Image 1,4,1,100000002,510000009076,
66,,Segment,4,10,Image 1,5,1,100000002,510000009142,
9,,Segment,4,9,Image 1,5,1,100000002,510000009150,
8,,Segment,4,15,Image 1,6,1,100000003,510000009157,
8,,Segment,4,14,Image 1,5,1,100000003,510000009164,
14,,Segment,4,13,Image 1,5,1,100000003,510000009177,
11,,Segment,4,12,Image 1,5,1,100000003,510000009187,
4,,Segment,4,11,Image 1,4,1,100000003,510000009190,
32,,Segment,4,10,Image 1,4,1,100000003,510000009221,
7,,Segment,4,9,Image 1,3,1,100000003,510000009227,
31,,Segment,4,8,Image 1,3,1,100000003,510000009257,
4,,Segment,4,7,Image 1,2,1,100000003,510000009260,
5,,Segment,4,15,Image 1,5,1,100000003,510000009265,
6,,Segment,4,13,Image 1,6,1,100000003,510000009271,
12,,Segment,4,11,Image 1,5,1,100000003,510000009282,
7,,Segment,4,12,Image 1,4,1,100000003,510000009288,
