
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,4,3,Image 1,3,1,100000003,610000012273,
2,,Spine,4,2,Image 1,2,1,100000003,610000012274,
2,,Spine,4,1,Image 1,2,1,100000003,610000012275,
2,,Spine,4,0,Image 1,1,1,100000003,610000012276,
2,,Spine,4,0,Image 1,1,1,100000003,610000012277,
2,,Spine,4,0,Image 1,1,1,100000003,610000012279,
2,,Spine,4,0,Image 1,1,1,100000003,610000012280,
2,,Spine,4,0,Image 1,1,1,100000003,610000012281,
2,,Spine,4,0,Image 1,1,1,100000003,610000012283,
2,,Spine,4,4,Image 1,2,1,100000003,610000012284,
2,,Spine,4,4,Image 1,2,1,100000003,610000012285,
2,,Spine,4,3,Image 1,1,1,100000003,610000012286,
