
Spine Orientation Angle
 ==================== 
Spine Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
-32.283,°,Spine,7,5,1,100000002,610000011966,
108.407,°,Spine,3,3,1,100000003,610000011974,
169.445,°,Spine,11,4,1,100000003,610000011983,
12.1212,°,Spine,3,2,1,100000003,610000011990,
-160.38,°,Spine,9,5,1,100000003,610000011994,
77.6975,°,Spine,7,3,1,100000002,610000012000,
-9.84054,°,Spine,0,1,1,100000003,610000012003,
43.1552,°,Spine,4,2,1,100000003,610000012006,
94.834,°,Spine,13,6,1,100000003,610000012008,
-167.498,°,Spine,9,4,1,100000002,610000012011,
-137.785,°,Spine,0,1,1,100000003,610000012014,
-168.746,°,Spine,12,4,1,100000003,610000012017,
-149.46,°,Spine,0,1,1,100000003,610000012019,
-170.241,°,Spine,3,2,1,100000002,610000012022,
150.625,°,Spine,3,1,1,100000003,610000012024,
-172.561,°,Spine,12,4,1,100000003,610000012026,
167.461,°,Spine,0,1,1,100000003,610000012034,
-40.4811,°,Spine,0,1,1,100000003,610000012041,
-8.03904,°,Spine,1,2,1,100000002,610000012046,
-168.614,°,Spine,4,2,1,100000003,610000012048,
60.4418,°,Spine,0,1,1,100000003,610000012057,
-124.84,°,Spine,0,1,1,100000003,610000012061,
100.379,°,Spine,0,1,1,100000003,610000012069,
-169.566,°,Spine,0,1,1,100000003,610000012074,
-150.211,°,Spine,0,1,1,100000003,610000012076,
176.327,°,Spine,10,5,1,100000002,610000012081,
-29.6398,°,Spine,0,1,1,100000003,610000012085,
5.93359,°,Spine,3,2,1,100000003,610000012088,
-150.914,°,Spine,0,1,1,100000003,610000012092,
140.194,°,Spine,8,5,1,100000003,610000012095,
27.9705,°,Spine,0,1,1,100000003,610000012099,
133.128,°,Spine,4,4,1,100000002,610000012103,
46.5666,°,Spine,4,1,1,100000003,610000012106,
166.794,°,Spine,0,1,1,100000002,610000012113,
162.129,°,Spine,0,1,1,100000002,610000012115,
-145.048,°,Spine,0,1,1,100000003,610000012120,
130.75,°,Spine,0,1,1,100000003,610000012125,
-3.55618,°,Spine,0,1,1,100000003,610000012128,
-84.7652,°,Spine,5,1,1,100000003,610000012136,
-178.002,°,Spine,0,1,1,100000002,610000012141,
179.05,°,Spine,5,1,1,100000003,610000012147,
-157.341,°,Spine,0,1,1,100000003,610000012150,
88.6521,°,Spine,0,1,1,100000003,610000012157,
-12.9946,°,Spine,0,1,1,100000003,610000012173,
174.581,°,Spine,0,1,1,100000002,610000012175,
39.5077,°,Spine,0,1,1,100000003,610000012181,
-105.232,°,Spine,5,1,1,100000003,610000012193,
-82.5178,°,Spine,19,5,1,100000002,610000012207,
111.209,°,Spine,12,5,1,100000002,610000012208,
166.11,°,Spine,10,5,1,100000002,610000012209,
121.633,°,Spine,10,6,1,100000002,610000012210,
125.458,°,Spine,8,5,1,100000002,610000012211,
124.565,°,Spine,8,5,1,100000002,610000012212,
83.0305,°,Spine,7,4,1,100000002,610000012213,
-98.2525,°,Spine,10,6,1,100000002,610000012214,
-136.091,°,Spine,3,3,1,100000002,610000012215,
-34.4184,°,Spine,3,3,1,100000002,610000012216,
52.1074,°,Spine,8,2,1,100000002,610000012217,
75.4297,°,Spine,8,3,1,100000002,610000012218,
-49.9961,°,Spine,3,2,1,100000002,610000012219,
-173.105,°,Spine,2,2,1,100000002,610000012220,
120.291,°,Spine,2,2,1,100000002,610000012221,
-47.0601,°,Spine,2,2,1,100000002,610000012222,
-153.737,°,Spine,0,1,1,100000002,610000012225,
63.21,°,Spine,5,5,1,100000002,610000012227,
-114.893,°,Spine,5,4,1,100000002,610000012228,
-75.5792,°,Spine,1,2,1,100000002,610000012229,
-4.89909,°,Spine,7,4,1,100000003,610000012232,
50.4403,°,Spine,7,4,1,100000003,610000012233,
15.1204,°,Spine,5,3,1,100000003,610000012234,
-44.4383,°,Spine,8,2,1,100000003,610000012235,
-12.7992,°,Spine,10,4,1,100000003,610000012236,
127.164,°,Spine,8,3,1,100000003,610000012237,
174.823,°,Spine,3,2,1,100000003,610000012238,
-50.6953,°,Spine,0,1,1,100000003,610000012239,
-86.748,°,Spine,0,1,1,100000003,610000012240,
68.4356,°,Spine,0,1,1,100000003,610000012243,
-167.428,°,Spine,0,1,1,100000003,610000012246,
136.693,°,Spine,10,5,1,100000003,610000012247,
-27.0246,°,Spine,18,6,1,100000003,610000012248,
-92.1927,°,Spine,18,6,1,100000003,610000012249,
166.657,°,Spine,18,5,1,100000003,610000012250,
115.445,°,Spine,16,5,1,100000003,610000012251,
-72.4744,°,Spine,9,5,1,100000003,610000012252,
-24.4587,°,Spine,9,5,1,100000003,610000012253,
120.069,°,Spine,9,5,1,100000003,610000012254,
-161.121,°,Spine,15,5,1,100000003,610000012255,
93.8655,°,Spine,14,5,1,100000003,610000012256,
-155.344,°,Spine,12,4,1,100000003,610000012257,
-12.1395,°,Spine,11,5,1,100000003,610000012258,
144.972,°,Spine,10,4,1,100000003,610000012259,
-157.126,°,Spine,7,3,1,100000003,610000012260,
15.0004,°,Spine,6,2,1,100000003,610000012261,
-154.551,°,Spine,5,2,1,100000003,610000012262,
-41.4855,°,Spine,5,1,1,100000003,610000012263,
7.27145,°,Spine,5,1,1,100000003,610000012264,
-65.5014,°,Spine,5,1,1,100000003,610000012265,
66.9662,°,Spine,4,1,1,100000003,610000012266,
132.847,°,Spine,3,1,1,100000003,610000012267,
-165.097,°,Spine,6,5,1,100000003,610000012268,
-119.143,°,Spine,5,4,1,100000003,610000012269,
-61.0524,°,Spine,4,3,1,100000003,610000012270,
52.8731,°,Spine,3,3,1,100000003,610000012271,
115.233,°,Spine,3,3,1,100000003,610000012272,
71.9373,°,Spine,3,3,1,100000003,610000012273,
-175.622,°,Spine,2,2,1,100000003,610000012274,
132.33,°,Spine,1,2,1,100000003,610000012275,
-165.345,°,Spine,0,1,1,100000003,610000012276,
2.02262,°,Spine,0,1,1,100000003,610000012277,
-0.751377,°,Spine,0,1,1,100000003,610000012279,
-83.5325,°,Spine,0,1,1,100000003,610000012280,
