
Soma Intensity Center Ch=3 Img=1
 ==================== 
Soma Intensity Center,Unit,Category,Channel,Image,Time,FilamentID,ID,
56,,Soma,3,Image 1,1,100000002,800000660,
24,,Soma,3,Image 1,1,100000003,800000661,
