
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1470.88,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000660,
1470.81,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000660,
1470.88,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000660,
1470.75,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000660,
1470.82,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000660,
1467.37,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000003,800000661,
1466.47,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000003,800000661,
1467.37,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000661,
1464.53,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000003,800000661,
1466.48,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000003,800000661,
