
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
26.0625,,Segment,3,11,Image 1,6,1,100000003,510000006596,
39.125,,Segment,3,10,Image 1,5,1,100000003,510000006621,
37.125,,Segment,3,9,Image 1,4,1,100000003,510000006637,
30.0625,,Segment,3,8,Image 1,4,1,100000003,510000006639,
27.0625,,Segment,3,7,Image 1,4,1,100000003,510000006652,
20.0625,,Segment,3,6,Image 1,3,1,100000003,510000006660,
29.125,,Segment,3,5,Image 1,3,1,100000003,510000006687,
50.125,,Segment,3,4,Image 1,2,1,100000003,510000006748,
51.125,,Segment,3,3,Image 1,1,1,100000003,510000006777,
58.125,,Segment,3,2,Image 1,1,1,100000003,510000006781,
60.125,,Segment,3,1,Image 1,1,1,100000003,510000006789,
75.125,,Segment,3,0,Image 1,1,1,100000003,510000006818,
0.125,,Segment,3,11,Image 1,5,1,100000003,510000006852,
63.125,,Segment,3,10,Image 1,4,1,100000003,510000006875,
10.125,,Segment,3,16,Image 1,6,1,100000002,510000006893,
38.0625,,Segment,3,15,Image 1,5,1,100000002,510000006910,
57.125,,Segment,3,14,Image 1,5,1,100000002,510000006929,
49.125,,Segment,3,13,Image 1,5,1,100000002,510000006968,
55.125,,Segment,3,12,Image 1,5,1,100000002,510000006974,
60.0625,,Segment,3,11,Image 1,4,1,100000002,510000006978,
44.0625,,Segment,3,10,Image 1,4,1,100000002,510000006993,
37.125,,Segment,3,9,Image 1,4,1,100000002,510000007018,
40.125,,Segment,3,7,Image 1,4,1,100000002,510000007037,
47.0625,,Segment,3,6,Image 1,3,1,100000002,510000007043,
45.0625,,Segment,3,5,Image 1,3,1,100000002,510000007045,
43.0625,,Segment,3,3,Image 1,2,1,100000002,510000007050,
41.125,,Segment,3,1,Image 1,1,1,100000002,510000007059,
42.0625,,Segment,3,0,Image 1,1,1,100000002,510000007077,
43.125,,Segment,3,13,Image 1,7,1,100000003,510000007150,
70.125,,Segment,3,12,Image 1,6,1,100000003,510000007169,
61.125,,Segment,3,11,Image 1,5,1,100000003,510000007181,
51.125,,Segment,3,10,Image 1,5,1,100000003,510000007285,
53.125,,Segment,3,9,Image 1,4,1,100000003,510000007292,
25.125,,Segment,3,8,Image 1,4,1,100000003,510000007320,
58.125,,Segment,3,7,Image 1,4,1,100000003,510000007373,
46.125,,Segment,3,6,Image 1,3,1,100000003,510000007378,
50.125,,Segment,3,5,Image 1,2,1,100000003,510000007386,
73.125,,Segment,3,4,Image 1,1,1,100000003,510000007434,
65.125,,Segment,3,3,Image 1,1,1,100000003,510000007457,
64.125,,Segment,3,2,Image 1,1,1,100000003,510000007468,
73.125,,Segment,3,1,Image 1,1,1,100000003,510000007473,
62.125,,Segment,3,0,Image 1,1,1,100000003,510000007494,
22.0625,,Segment,3,15,Image 1,7,1,100000003,510000007552,
18.0625,,Segment,3,14,Image 1,6,1,100000003,510000007580,
40.5625,,Segment,3,13,Image 1,5,1,100000003,510000007583,
33.625,,Segment,3,12,Image 1,5,1,100000003,510000007587,
21.0625,,Segment,3,15,Image 1,6,1,100000003,510000007629,
22.0625,,Segment,3,14,Image 1,8,1,100000003,510000007639,
20.0625,,Segment,3,13,Image 1,8,1,100000003,510000007643,
15.0625,,Segment,3,12,Image 1,7,1,100000003,510000007661,
5.5625,,Segment,3,11,Image 1,6,1,100000003,510000007708,
17.0312,,Segment,3,15,Image 1,9,1,100000003,510000007712,
22.0625,,Segment,3,14,Image 1,9,1,100000003,510000007714,
25.0625,,Segment,3,15,Image 1,10,1,100000003,510000007716,
21.0625,,Segment,3,13,Image 1,7,1,100000003,510000007718,
52.5625,,Segment,3,14,Image 1,6,1,100000002,510000007729,
0.0625,,Segment,3,13,Image 1,6,1,100000002,510000007806,
39.0625,,Segment,3,14,Image 1,7,1,100000002,510000007812,
23.0625,,Segment,3,12,Image 1,7,1,100000003,510000007820,
58.0625,,Segment,3,12,Image 1,6,1,100000003,510000007827,
18.0625,,Segment,3,13,Image 1,6,1,100000003,510000007875,
33.125,,Segment,3,14,Image 1,6,1,100000002,510000007888,
23.625,,Segment,3,9,Image 1,2,1,100000003,510000007971,
64.125,,Segment,3,7,Image 1,1,1,100000003,510000007997,
47.125,,Segment,3,6,Image 1,1,1,100000003,510000008003,
77.125,,Segment,3,5,Image 1,1,1,100000003,510000008012,
53.125,,Segment,3,4,Image 1,1,1,100000003,510000008022,
39.0625,,Segment,3,14,Image 1,5,1,100000003,510000008026,
32.0625,,Segment,3,13,Image 1,6,1,100000003,510000008029,
25.0625,,Segment,3,16,Image 1,6,1,100000003,510000008037,
60.125,,Segment,3,15,Image 1,5,1,100000003,510000008042,
33.125,,Segment,3,14,Image 1,5,1,100000003,510000008053,
37.0625,,Segment,3,13,Image 1,5,1,100000003,510000008060,
65.125,,Segment,3,12,Image 1,5,1,100000003,510000008062,
70.125,,Segment,3,11,Image 1,5,1,100000003,510000008065,
60.625,,Segment,3,10,Image 1,5,1,100000003,510000008068,
71.125,,Segment,3,9,Image 1,5,1,100000003,510000008101,
36.0625,,Segment,3,5,Image 1,5,1,100000002,510000008174,
47.125,,Segment,3,4,Image 1,4,1,100000002,510000008213,
38.0625,,Segment,3,3,Image 1,3,1,100000002,510000008222,
40.0625,,Segment,3,2,Image 1,3,1,100000002,510000008239,
57.125,,Segment,3,1,Image 1,2,1,100000002,510000008248,
68.125,,Segment,3,0,Image 1,1,1,100000002,510000008261,
0.125,,Segment,3,3,Image 1,3,1,100000003,510000008298,
34.625,,Segment,3,2,Image 1,2,1,100000003,510000008319,
39.125,,Segment,3,11,Image 1,5,1,100000003,510000008356,
65.125,,Segment,3,10,Image 1,4,1,100000003,510000008358,
9.125,,Segment,3,3,Image 1,2,1,100000003,510000008363,
28.0625,,Segment,3,9,Image 1,6,1,100000002,510000008394,
38.0625,,Segment,3,8,Image 1,5,1,100000002,510000008398,
43.125,,Segment,3,7,Image 1,5,1,100000002,510000008482,
44.125,,Segment,3,6,Image 1,4,1,100000002,510000008489,
38.125,,Segment,3,16,Image 1,7,1,100000003,510000008513,
56.125,,Segment,3,15,Image 1,6,1,100000003,510000008540,
29.5625,,Segment,3,14,Image 1,6,1,100000003,510000008547,
54.125,,Segment,3,19,Image 1,6,1,100000003,510000008549,
74.125,,Segment,3,18,Image 1,6,1,100000003,510000008578,
51.625,,Segment,3,16,Image 1,5,1,100000003,510000008588,
43.125,,Segment,3,19,Image 1,6,1,100000003,510000008592,
43.625,,Segment,3,18,Image 1,5,1,100000003,510000008601,
36.0625,,Segment,3,16,Image 1,6,1,100000003,510000008606,
50.125,,Segment,3,17,Image 1,6,1,100000003,510000008609,
30.0625,,Segment,3,15,Image 1,7,1,100000003,510000008614,
44.125,,Segment,3,15,Image 1,6,1,100000003,510000008617,
44.125,,Segment,3,12,Image 1,6,1,100000003,510000008624,
29.5625,,Segment,3,13,Image 1,6,1,100000003,510000008626,
71.125,,Segment,3,10,Image 1,6,1,100000003,510000008631,
63.125,,Segment,3,11,Image 1,6,1,100000003,510000008633,
19.0625,,Segment,3,9,Image 1,7,1,100000002,510000008665,
28.0625,,Segment,3,8,Image 1,6,1,100000002,510000008692,
30.125,,Segment,3,11,Image 1,4,1,100000003,510000008700,
34.125,,Segment,3,7,Image 1,4,1,100000003,510000008754,
44.0625,,Segment,3,6,Image 1,3,1,100000003,510000008771,
57.125,,Segment,3,5,Image 1,3,1,100000003,510000008777,
65.125,,Segment,3,4,Image 1,3,1,100000003,510000008807,
70.125,,Segment,3,3,Image 1,2,1,100000003,510000008838,
31.0625,,Segment,3,12,Image 1,6,1,100000003,510000008846,
37.125,,Segment,3,11,Image 1,5,1,100000003,510000008849,
32.0625,,Segment,3,12,Image 1,5,1,100000003,510000008851,
0.0625,,Segment,3,12,Image 1,3,1,100000002,510000008877,
30.0625,,Segment,3,11,Image 1,3,1,100000002,510000008913,
33.5625,,Segment,3,10,Image 1,2,1,100000002,510000008920,
35.0625,,Segment,3,9,Image 1,2,1,100000002,510000008925,
42.0625,,Segment,3,8,Image 1,2,1,100000002,510000008939,
34.0625,,Segment,3,7,Image 1,2,1,100000002,510000008949,
37.0625,,Segment,3,6,Image 1,2,1,100000002,510000008983,
43.5625,,Segment,3,4,Image 1,2,1,100000002,510000008988,
52.0625,,Segment,3,3,Image 1,2,1,100000002,510000008996,
67.625,,Segment,3,2,Image 1,2,1,100000002,510000009005,
52.125,,Segment,3,1,Image 1,2,1,100000002,510000009010,
22.0625,,Segment,3,7,Image 1,3,1,100000003,510000009014,
27.0625,,Segment,3,6,Image 1,4,1,100000003,510000009016,
35.125,,Segment,3,0,Image 1,1,1,100000003,510000009060,
