
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-10.1935,263.125,µm^3,Volume,Image 1,1,,
-9.6425,645.014,µm^3,Volume,Image 1,1,,
-9.0915,871.18,µm^3,Volume,Image 1,1,,
-8.5405,1095.75,µm^3,Volume,Image 1,1,,
-7.9895,1355.58,µm^3,Volume,Image 1,1,,
-7.4385,1644.19,µm^3,Volume,Image 1,1,,
-6.8875,1958.89,µm^3,Volume,Image 1,1,,
-6.3365,2321.36,µm^3,Volume,Image 1,1,,
-5.7855,2814.71,µm^3,Volume,Image 1,1,,
-5.2345,3395.11,µm^3,Volume,Image 1,1,,
-4.6835,3568.47,µm^3,Volume,Image 1,1,,
-4.1325,3817.05,µm^3,Volume,Image 1,1,,
-3.5815,4185.71,µm^3,Volume,Image 1,1,,
-3.0305,4565.54,µm^3,Volume,Image 1,1,,
-2.4795,4983.4,µm^3,Volume,Image 1,1,,
-1.9285,5437.15,µm^3,Volume,Image 1,1,,
-1.3775,5874.86,µm^3,Volume,Image 1,1,,
-0.8265,6148.39,µm^3,Volume,Image 1,1,,
-0.2755,6126.62,µm^3,Volume,Image 1,1,,
0.275499,5821.82,µm^3,Volume,Image 1,1,,
0.8265,5118.22,µm^3,Volume,Image 1,1,,
1.3775,4838.65,µm^3,Volume,Image 1,1,,
1.9285,4787.3,µm^3,Volume,Image 1,1,,
2.4795,4834.46,µm^3,Volume,Image 1,1,,
3.0305,4898.33,µm^3,Volume,Image 1,1,,
3.5815,4998.57,µm^3,Volume,Image 1,1,,
4.1325,5045.37,µm^3,Volume,Image 1,1,,
4.6835,5099.76,µm^3,Volume,Image 1,1,,
5.2345,5150.21,µm^3,Volume,Image 1,1,,
5.7855,5230.37,µm^3,Volume,Image 1,1,,
6.3365,5283.65,µm^3,Volume,Image 1,1,,
6.8875,5347.53,µm^3,Volume,Image 1,1,,
7.4385,5371.34,µm^3,Volume,Image 1,1,,
7.9895,5374.18,µm^3,Volume,Image 1,1,,
8.5405,5336.19,µm^3,Volume,Image 1,1,,
9.0915,5259.96,µm^3,Volume,Image 1,1,,
9.6425,5177.72,µm^3,Volume,Image 1,1,,
10.1935,5086.83,µm^3,Volume,Image 1,1,,
10.7445,4986.62,µm^3,Volume,Image 1,1,,
11.2955,4891.26,µm^3,Volume,Image 1,1,,
11.8465,4791.9,µm^3,Volume,Image 1,1,,
12.3975,4742.61,µm^3,Volume,Image 1,1,,
12.9485,4686.21,µm^3,Volume,Image 1,1,,
13.4995,4638.83,µm^3,Volume,Image 1,1,,
14.0505,4607.25,µm^3,Volume,Image 1,1,,
14.6015,4591.15,µm^3,Volume,Image 1,1,,
15.1525,4548.43,µm^3,Volume,Image 1,1,,
15.7035,4538.03,µm^3,Volume,Image 1,1,,
16.2545,4530.18,µm^3,Volume,Image 1,1,,
16.8055,4528.43,µm^3,Volume,Image 1,1,,
17.3565,4485.33,µm^3,Volume,Image 1,1,,
17.9075,4446.75,µm^3,Volume,Image 1,1,,
18.4585,4444.47,µm^3,Volume,Image 1,1,,
19.0095,4444.58,µm^3,Volume,Image 1,1,,
19.5605,4372.26,µm^3,Volume,Image 1,1,,
20.1115,4265.85,µm^3,Volume,Image 1,1,,
20.6625,4159.94,µm^3,Volume,Image 1,1,,
21.2135,3994.26,µm^3,Volume,Image 1,1,,
21.7645,3819.37,µm^3,Volume,Image 1,1,,
22.3155,3631.17,µm^3,Volume,Image 1,1,,
22.8665,3452.43,µm^3,Volume,Image 1,1,,
23.4175,3234.37,µm^3,Volume,Image 1,1,,
23.9685,3038.04,µm^3,Volume,Image 1,1,,
24.5195,2880.87,µm^3,Volume,Image 1,1,,
25.0705,2759.29,µm^3,Volume,Image 1,1,,
25.6215,2620.36,µm^3,Volume,Image 1,1,,
26.1725,2498.75,µm^3,Volume,Image 1,1,,
26.7235,2394.62,µm^3,Volume,Image 1,1,,
27.2745,2300.26,µm^3,Volume,Image 1,1,,
27.8255,2171.69,µm^3,Volume,Image 1,1,,
28.3765,2039.75,µm^3,Volume,Image 1,1,,
28.9275,1920.9,µm^3,Volume,Image 1,1,,
29.4785,1810.55,µm^3,Volume,Image 1,1,,
30.0295,1687.83,µm^3,Volume,Image 1,1,,
30.5805,1586.46,µm^3,Volume,Image 1,1,,
31.1315,1503.12,µm^3,Volume,Image 1,1,,
31.6825,1413.33,µm^3,Volume,Image 1,1,,
32.2335,1331.47,µm^3,Volume,Image 1,1,,
32.7845,1246.26,µm^3,Volume,Image 1,1,,
33.3355,1189.78,µm^3,Volume,Image 1,1,,
33.8865,1120.92,µm^3,Volume,Image 1,1,,
34.4375,1042.18,µm^3,Volume,Image 1,1,,
34.9885,983.18,µm^3,Volume,Image 1,1,,
35.5395,911.638,µm^3,Volume,Image 1,1,,
36.0905,835.138,µm^3,Volume,Image 1,1,,
36.6415,777.402,µm^3,Volume,Image 1,1,,
37.1925,716.958,µm^3,Volume,Image 1,1,,
37.7435,667.722,µm^3,Volume,Image 1,1,,
38.2945,614.791,µm^3,Volume,Image 1,1,,
38.8455,554.597,µm^3,Volume,Image 1,1,,
39.3965,507.125,µm^3,Volume,Image 1,1,,
