
Spine Terminal Pt Intensity Center Ch=2 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
8,,Spine,2,0,Image 1,1,,610000001581,
12,,Spine,2,0,Image 1,1,,610000001590,
12,,Spine,2,0,Image 1,1,,610000001596,
8,,Spine,2,0,Image 1,1,,610000001601,
55,,Spine,2,8,Image 1,1,100000007,610000001612,
45,,Spine,2,5,Image 1,1,100000007,610000001614,
133,,Spine,2,8,Image 1,1,100000007,610000001623,
124,,Spine,2,2,Image 1,1,,610000001646,
103,,Spine,2,4,Image 1,1,,610000001646,
117,,Spine,2,0,Image 1,1,,610000001646,
75,,Spine,2,4,Image 1,1,,610000001647,
27,,Spine,2,0,Image 1,1,,610000001647,
139,,Spine,2,8,Image 1,1,,610000001648,
93,,Spine,2,8,Image 1,1,,610000001649,
88,,Spine,2,6,Image 1,1,,610000001650,
86,,Spine,2,5,Image 1,1,,610000001651,
155,,Spine,2,6,Image 1,1,,610000001652,
147,,Spine,2,7,Image 1,1,,610000001653,
102,,Spine,2,7,Image 1,1,,610000001654,
76,,Spine,2,0,Image 1,1,,610000001655,
