
Soma Number of Voxels Img=1
 ==================== 
Soma Number of Voxels,Unit,Category,Image,Time,FilamentID,ID,
5664,,Soma,Image 1,1,100000003,800000073,
3573,,Soma,Image 1,1,100000004,800000074,
4280,,Soma,Image 1,1,100000005,800000075,
7339,,Soma,Image 1,1,100000006,800000076,
3588,,Soma,Image 1,1,100000007,800000077,
