
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.71029e+07,,Surface,3,Image 1,1,0,
3.15193e+07,,Surface,3,Image 1,1,1,
3.31267e+07,,Surface,3,Image 1,1,2,
