
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-10.1935,263.125,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.6425,908.138,µm^3,Cumulative Volume Inside,Image 1,1,,
-9.0915,1779.32,µm^3,Cumulative Volume Inside,Image 1,1,,
-8.5405,2875.07,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.9895,4230.65,µm^3,Cumulative Volume Inside,Image 1,1,,
-7.4385,5874.84,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.8875,7833.73,µm^3,Cumulative Volume Inside,Image 1,1,,
-6.3365,10155.1,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.7855,12969.8,µm^3,Cumulative Volume Inside,Image 1,1,,
-5.2345,16364.9,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.6835,19933.4,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.1325,23750.4,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.5815,27936.1,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.0305,32501.7,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.4795,37485.1,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.9285,42922.2,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.3775,48797.1,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.8265,54945.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.2755,61072.1,µm^3,Cumulative Volume Inside,Image 1,1,,
