
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19005.1,µm,Spine,Spine Attachment Pt Position,10,4,1,100000000,610000005085,
19006.9,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000005089,
19010,µm,Spine,Spine Attachment Pt Position,12,3,1,100000000,610000005092,
18982.1,µm,Spine,Spine Attachment Pt Position,14,6,1,100000001,610000005096,
18999.3,µm,Spine,Spine Attachment Pt Position,6,3,1,100000000,610000005101,
18991.8,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000005106,
18988.6,µm,Spine,Spine Attachment Pt Position,10,6,1,100000001,610000005109,
18983.3,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000005127,
19004.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000005136,
18999.6,µm,Spine,Spine Attachment Pt Position,4,2,1,100000000,610000005138,
18985,µm,Spine,Spine Attachment Pt Position,4,1,1,100000002,610000005141,
19024.2,µm,Spine,Spine Attachment Pt Position,3,3,1,100000003,610000005143,
19012.1,µm,Spine,Spine Attachment Pt Position,7,3,1,100000000,610000005145,
19028.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000005148,
19006.8,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000005151,
18990.1,µm,Spine,Spine Attachment Pt Position,3,3,1,100000002,610000005153,
18994.6,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000005155,
18999.8,µm,Spine,Spine Attachment Pt Position,4,3,1,100000000,610000005160,
18985.2,µm,Spine,Spine Attachment Pt Position,11,4,1,100000001,610000005162,
18997.2,µm,Spine,Spine Attachment Pt Position,8,3,1,100000000,610000005169,
19026,µm,Spine,Spine Attachment Pt Position,2,3,1,100000003,610000005171,
18986,µm,Spine,Spine Attachment Pt Position,12,6,1,100000001,610000005192,
18984.6,µm,Spine,Spine Attachment Pt Position,12,3,1,100000001,610000005196,
18988.1,µm,Spine,Spine Attachment Pt Position,9,3,1,100000001,610000005198,
18987.4,µm,Spine,Spine Attachment Pt Position,9,5,1,100000001,610000005200,
19015.4,µm,Spine,Spine Attachment Pt Position,9,4,1,100000000,610000005202,
18999.5,µm,Spine,Spine Attachment Pt Position,4,2,1,100000000,610000005216,
18998.9,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000005219,
18993.5,µm,Spine,Spine Attachment Pt Position,5,3,1,100000002,610000005227,
18989.3,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005233,
19026.1,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000005246,
18989.3,µm,Spine,Spine Attachment Pt Position,3,3,1,100000002,610000005248,
18989.9,µm,Spine,Spine Attachment Pt Position,10,6,1,100000001,610000005257,
18992.4,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000005260,
19015.7,µm,Spine,Spine Attachment Pt Position,10,6,1,100000000,610000005275,
19014.8,µm,Spine,Spine Attachment Pt Position,9,5,1,100000000,610000005277,
18988.2,µm,Spine,Spine Attachment Pt Position,9,3,1,100000001,610000005284,
19001.2,µm,Spine,Spine Attachment Pt Position,1,1,1,100000000,610000005292,
19024.3,µm,Spine,Spine Attachment Pt Position,4,4,1,100000003,610000005294,
18988.4,µm,Spine,Spine Attachment Pt Position,8,4,1,100000001,610000005296,
18983,µm,Spine,Spine Attachment Pt Position,6,2,1,100000002,610000005298,
19006.3,µm,Spine,Spine Attachment Pt Position,5,3,1,100000000,610000005311,
19005.4,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000005314,
19011.9,µm,Spine,Spine Attachment Pt Position,7,3,1,100000000,610000005322,
19028.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000005329,
19012.4,µm,Spine,Spine Attachment Pt Position,11,3,1,100000000,610000005333,
18995.4,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005337,
18989.2,µm,Spine,Spine Attachment Pt Position,10,4,1,100000001,610000005341,
19027.6,µm,Spine,Spine Attachment Pt Position,1,1,1,100000003,610000005352,
19027.9,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000005365,
18994.6,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005367,
18981.8,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000005377,
18988.3,µm,Spine,Spine Attachment Pt Position,6,2,1,100000001,610000005384,
18999.7,µm,Spine,Spine Attachment Pt Position,2,2,1,100000000,610000005386,
19005.4,µm,Spine,Spine Attachment Pt Position,5,1,1,100000000,610000005392,
19011.2,µm,Spine,Spine Attachment Pt Position,13,4,1,100000000,610000005400,
18994.5,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000005403,
18985,µm,Spine,Spine Attachment Pt Position,11,4,1,100000001,610000005408,
19026.5,µm,Spine,Spine Attachment Pt Position,3,3,1,100000003,610000005420,
18983.4,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000005427,
18981.5,µm,Spine,Spine Attachment Pt Position,15,7,1,100000001,610000005461,
19006.2,µm,Spine,Spine Attachment Pt Position,7,2,1,100000000,610000005483,
19007.8,µm,Spine,Spine Attachment Pt Position,9,2,1,100000000,610000005487,
18992.9,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005489,
18981.8,µm,Spine,Spine Attachment Pt Position,5,2,1,100000002,610000005496,
18992.9,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005499,
19001.3,µm,Spine,Spine Attachment Pt Position,3,2,1,100000000,610000005520,
18991.5,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000005522,
19001.7,µm,Spine,Spine Attachment Pt Position,1,2,1,100000000,610000005540,
18991.2,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000005697,
19004.1,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005697,
18981.3,µm,Spine,Spine Attachment Pt Position,8,3,1,,610000005697,
18983.5,µm,Spine,Spine Attachment Pt Position,6,2,1,,610000005698,
18990.7,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000005698,
19027.6,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005698,
19017.8,µm,Spine,Spine Attachment Pt Position,12,6,1,,610000005698,
18985,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000005699,
19027.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005699,
19011.8,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000005699,
18982.3,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000005699,
18984.8,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000005700,
19026.4,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005700,
18986.3,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000005700,
18986.7,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000005701,
18989.4,µm,Spine,Spine Attachment Pt Position,5,4,1,,610000005701,
19026.3,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005701,
18990,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000005702,
19027.7,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000005702,
19004.8,µm,Spine,Spine Attachment Pt Position,8,2,1,,610000005702,
19026.3,µm,Spine,Spine Attachment Pt Position,2,3,1,,610000005703,
18991.4,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000005703,
18987.2,µm,Spine,Spine Attachment Pt Position,12,4,1,,610000005703,
19005.2,µm,Spine,Spine Attachment Pt Position,7,1,1,,610000005703,
19005.7,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000005704,
18987.1,µm,Spine,Spine Attachment Pt Position,12,4,1,,610000005704,
19026.4,µm,Spine,Spine Attachment Pt Position,3,4,1,,610000005704,
19024.7,µm,Spine,Spine Attachment Pt Position,3,3,1,,610000005705,
18992.2,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000005705,
18987.2,µm,Spine,Spine Attachment Pt Position,12,4,1,,610000005705,
19006.7,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000005705,
18982.8,µm,Spine,Spine Attachment Pt Position,3,1,1,,610000005706,
19023.9,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000005706,
18984.2,µm,Spine,Spine Attachment Pt Position,12,3,1,,610000005706,
19007.6,µm,Spine,Spine Attachment Pt Position,9,2,1,,610000005706,
18982.4,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000005707,
18988.8,µm,Spine,Spine Attachment Pt Position,10,4,1,,610000005707,
19007.9,µm,Spine,Spine Attachment Pt Position,9,2,1,,610000005707,
19009.8,µm,Spine,Spine Attachment Pt Position,9,2,1,,610000005708,
18989.6,µm,Spine,Spine Attachment Pt Position,10,3,1,,610000005708,
18989,µm,Spine,Spine Attachment Pt Position,10,3,1,,610000005709,
19012.1,µm,Spine,Spine Attachment Pt Position,13,3,1,,610000005709,
19010.4,µm,Spine,Spine Attachment Pt Position,12,3,1,,610000005710,
19010,µm,Spine,Spine Attachment Pt Position,11,2,1,,610000005711,
18988.4,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000005712,
19013.6,µm,Spine,Spine Attachment Pt Position,12,3,1,,610000005712,
19013.2,µm,Spine,Spine Attachment Pt Position,11,3,1,,610000005713,
18988.3,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000005714,
19012.5,µm,Spine,Spine Attachment Pt Position,11,3,1,,610000005714,
18988.2,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000005715,
19011.4,µm,Spine,Spine Attachment Pt Position,10,3,1,,610000005715,
18999.6,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000005716,
18981.6,µm,Spine,Spine Attachment Pt Position,8,5,1,,610000005716,
18983.3,µm,Spine,Spine Attachment Pt Position,6,3,1,,610000005717,
18999.7,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000005717,
18988.7,µm,Spine,Spine Attachment Pt Position,10,6,1,,610000005718,
19000,µm,Spine,Spine Attachment Pt Position,4,3,1,,610000005719,
18987.6,µm,Spine,Spine Attachment Pt Position,10,6,1,,610000005719,
18999.8,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000005720,
18984.9,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000005720,
18999.9,µm,Spine,Spine Attachment Pt Position,4,4,1,,610000005721,
18984,µm,Spine,Spine Attachment Pt Position,13,6,1,,610000005721,
18998.3,µm,Spine,Spine Attachment Pt Position,2,2,1,,610000005722,
18982.3,µm,Spine,Spine Attachment Pt Position,14,6,1,,610000005722,
18995.3,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005723,
19000.8,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000005723,
18992.9,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005724,
19000.9,µm,Spine,Spine Attachment Pt Position,1,1,1,,610000005724,
19001.4,µm,Spine,Spine Attachment Pt Position,2,1,1,,610000005725,
18992.9,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005725,
18999.7,µm,Spine,Spine Attachment Pt Position,4,1,1,,610000005726,
18994.4,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005726,
18997.6,µm,Spine,Spine Attachment Pt Position,7,3,1,,610000005727,
18994.8,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005727,
18994,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005728,
18996.8,µm,Spine,Spine Attachment Pt Position,9,3,1,,610000005728,
19004.5,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005729,
19004.9,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005730,
19005.9,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000005731,
18995.4,µm,Spine,Spine Attachment Pt Position,1,2,1,,610000005731,
19006,µm,Spine,Spine Attachment Pt Position,3,2,1,,610000005732,
18993.2,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000005732,
19010.6,µm,Spine,Spine Attachment Pt Position,5,2,1,,610000005733,
19007.9,µm,Spine,Spine Attachment Pt Position,4,2,1,,610000005734,
19006.9,µm,Spine,Spine Attachment Pt Position,5,3,1,,610000005735,
