
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
4,,Segment,10,4,1,100000000,510000002826,
4,,Segment,9,4,1,100000000,510000002850,
4,,Segment,9,4,1,100000001,510000002861,
4,,Segment,6,4,1,100000001,510000002875,
4,,Segment,7,4,1,100000000,510000002880,
1,,Segment,5,1,1,100000000,510000002899,
3,,Segment,12,3,1,100000000,510000002904,
3,,Segment,11,3,1,100000000,510000002944,
4,,Segment,5,4,1,100000002,510000002947,
4,,Segment,12,4,1,100000000,510000002949,
6,,Segment,11,6,1,100000000,510000002952,
5,,Segment,10,5,1,100000000,510000002956,
3,,Segment,5,3,1,100000002,510000002981,
2,,Segment,4,2,1,100000002,510000002983,
1,,Segment,3,1,1,100000002,510000003011,
1,,Segment,2,1,1,100000002,510000003021,
1,,Segment,1,1,1,100000002,510000003029,
6,,Segment,10,6,1,100000000,510000003038,
2,,Segment,6,2,1,100000000,510000003041,
3,,Segment,9,3,1,100000001,510000003058,
4,,Segment,8,4,1,100000001,510000003107,
4,,Segment,7,4,1,100000001,510000003115,
3,,Segment,6,3,1,100000001,510000003144,
4,,Segment,8,4,1,100000001,510000003147,
4,,Segment,7,4,1,100000000,510000003149,
3,,Segment,8,3,1,100000000,510000003152,
2,,Segment,5,2,1,100000002,510000003169,
4,,Segment,6,4,1,100000000,510000003171,
2,,Segment,10,2,1,100000001,510000003177,
2,,Segment,12,2,1,100000000,510000003188,
3,,Segment,4,3,1,100000002,510000003199,
3,,Segment,3,3,1,100000002,510000003255,
2,,Segment,6,2,1,100000000,510000003265,
2,,Segment,5,2,1,100000000,510000003313,
2,,Segment,4,2,1,100000000,510000003327,
3,,Segment,6,3,1,100000000,510000003331,
3,,Segment,7,3,1,100000001,510000003334,
4,,Segment,5,4,1,100000003,510000003339,
3,,Segment,4,3,1,100000003,510000003364,
3,,Segment,3,3,1,100000003,510000003394,
3,,Segment,2,3,1,100000003,510000003414,
2,,Segment,1,2,1,100000003,510000003423,
1,,Segment,0,1,1,100000003,510000003439,
4,,Segment,4,4,1,100000002,510000003442,
3,,Segment,7,3,1,100000001,510000003447,
3,,Segment,5,3,1,100000003,510000003449,
3,,Segment,5,3,1,100000000,510000003484,
3,,Segment,4,3,1,100000000,510000003549,
3,,Segment,3,3,1,100000000,510000003553,
3,,Segment,2,3,1,100000000,510000003558,
5,,Segment,8,5,1,100000001,510000003563,
4,,Segment,5,4,1,100000000,510000003565,
4,,Segment,5,4,1,100000000,510000003573,
1,,Segment,4,1,1,100000002,510000003575,
3,,Segment,4,3,1,100000002,510000003579,
5,,Segment,8,5,1,100000001,510000003586,
1,,Segment,6,1,1,100000002,510000003593,
1,,Segment,5,1,1,100000002,510000003618,
3,,Segment,3,3,1,100000003,510000003677,
2,,Segment,2,2,1,100000003,510000003728,
2,,Segment,6,2,1,100000002,510000003734,
2,,Segment,2,2,1,100000001,510000003741,
2,,Segment,1,2,1,100000001,510000003808,
1,,Segment,0,1,1,100000001,510000003827,
3,,Segment,2,3,1,100000001,510000003838,
3,,Segment,10,3,1,100000000,510000003843,
3,,Segment,7,3,1,100000001,510000003846,
3,,Segment,6,3,1,100000002,510000003848,
2,,Segment,3,2,1,100000002,510000003889,
2,,Segment,4,2,1,100000002,510000003894,
4,,Segment,7,4,1,100000000,510000003904,
2,,Segment,9,2,1,100000000,510000003909,
2,,Segment,8,2,1,100000000,510000003955,
1,,Segment,7,1,1,100000000,510000003968,
3,,Segment,8,3,1,100000000,510000003994,
4,,Segment,4,4,1,100000003,510000004000,
5,,Segment,7,5,1,100000001,510000004002,
3,,Segment,9,3,1,100000000,510000004005,
3,,Segment,5,3,1,100000000,510000004010,
4,,Segment,5,4,1,100000001,510000004034,
1,,Segment,8,1,1,100000000,510000004048,
3,,Segment,3,3,1,100000003,510000004074,
2,,Segment,2,2,1,100000003,510000004098,
1,,Segment,1,1,1,100000003,510000004135,
2,,Segment,2,2,1,100000001,510000004166,
2,,Segment,3,2,1,100000003,510000004173,
2,,Segment,4,2,1,100000000,510000004181,
1,,Segment,0,1,1,100000001,510000004226,
2,,Segment,3,2,1,100000003,510000004231,
2,,Segment,2,2,1,100000000,510000004264,
3,,Segment,3,3,1,100000000,510000004270,
2,,Segment,2,2,1,100000000,510000004313,
2,,Segment,3,2,1,100000000,510000004322,
3,,Segment,2,3,1,100000001,510000004352,
2,,Segment,1,2,1,100000001,510000004367,
3,,Segment,4,3,1,100000000,510000004375,
4,,Segment,6,4,1,100000000,510000004384,
2,,Segment,1,2,1,100000000,510000004400,
2,,Segment,4,2,1,100000000,510000004404,
4,,Segment,3,4,1,100000003,510000004410,
1,,Segment,1,1,1,100000001,510000004445,
2,,Segment,1,2,1,100000001,510000004482,
1,,Segment,0,1,1,100000001,510000004531,
1,,Segment,2,1,1,100000003,510000004550,
2,,Segment,2,2,1,100000001,510000004555,
