
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
-20764.3,µm,Surface,Position,1,0,
-20767.6,µm,Surface,Position,1,1,
-20782.7,µm,Surface,Position,1,2,
-20771.4,µm,Surface,Position,1,3,
