
Spine Center Intensity Mean Ch=2 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
27,,Spine,2,10,Image 1,4,1,100000000,610000005085,
38.4,,Spine,2,5,Image 1,3,1,100000000,610000005089,
25.75,,Spine,2,12,Image 1,3,1,100000000,610000005092,
47.6,,Spine,2,14,Image 1,6,1,100000001,610000005096,
47,,Spine,2,6,Image 1,3,1,100000000,610000005101,
71.1667,,Spine,2,1,Image 1,1,1,100000001,610000005106,
53.5,,Spine,2,10,Image 1,6,1,100000001,610000005109,
60.0769,,Spine,2,11,Image 1,3,1,100000000,610000005121,
41,,Spine,2,10,Image 1,6,1,100000001,610000005124,
50.25,,Spine,2,6,Image 1,3,1,100000001,610000005127,
24.8333,,Spine,2,5,Image 1,3,1,100000000,610000005132,
47,,Spine,2,0,Image 1,1,1,100000000,610000005136,
38,,Spine,2,4,Image 1,2,1,100000000,610000005138,
48.25,,Spine,2,4,Image 1,1,1,100000002,610000005141,
63.6667,,Spine,2,3,Image 1,3,1,100000003,610000005143,
48.3333,,Spine,2,7,Image 1,3,1,100000000,610000005145,
48.25,,Spine,2,0,Image 1,1,1,100000003,610000005148,
24.75,,Spine,2,5,Image 1,3,1,100000000,610000005151,
34,,Spine,2,3,Image 1,3,1,100000002,610000005153,
61,,Spine,2,1,Image 1,2,1,100000001,610000005155,
68,,Spine,2,7,Image 1,3,1,100000000,610000005157,
56.75,,Spine,2,4,Image 1,3,1,100000000,610000005160,
18,,Spine,2,11,Image 1,4,1,100000001,610000005162,
48.2,,Spine,2,13,Image 1,3,1,100000000,610000005166,
48,,Spine,2,8,Image 1,3,1,100000000,610000005169,
53,,Spine,2,2,Image 1,3,1,100000003,610000005171,
122.222,,Spine,2,0,Image 1,1,1,100000001,610000005180,
43.4,,Spine,2,5,Image 1,2,1,100000002,610000005184,
74.2,,Spine,2,0,Image 1,1,1,100000001,610000005189,
53,,Spine,2,12,Image 1,6,1,100000001,610000005192,
57.8,,Spine,2,12,Image 1,3,1,100000001,610000005196,
51.3333,,Spine,2,9,Image 1,3,1,100000001,610000005198,
22.3333,,Spine,2,9,Image 1,5,1,100000001,610000005200,
44.6667,,Spine,2,9,Image 1,4,1,100000000,610000005202,
47.25,,Spine,2,8,Image 1,3,1,100000000,610000005205,
131.778,,Spine,2,0,Image 1,1,1,100000001,610000005214,
49,,Spine,2,4,Image 1,2,1,100000000,610000005216,
40.3333,,Spine,2,2,Image 1,2,1,100000000,610000005219,
98.1667,,Spine,2,0,Image 1,1,1,100000001,610000005225,
28.6667,,Spine,2,5,Image 1,3,1,100000002,610000005227,
70.2,,Spine,2,9,Image 1,2,1,100000000,610000005231,
53,,Spine,2,0,Image 1,1,1,100000001,610000005233,
53.75,,Spine,2,4,Image 1,3,1,100000002,610000005237,
56,,Spine,2,8,Image 1,3,1,100000002,610000005239,
58,,Spine,2,5,Image 1,1,1,100000000,610000005242,
88.4,,Spine,2,2,Image 1,2,1,100000003,610000005246,
60.6667,,Spine,2,3,Image 1,3,1,100000002,610000005248,
49,,Spine,2,5,Image 1,2,1,100000002,610000005250,
76.6667,,Spine,2,3,Image 1,2,1,100000000,610000005252,
57.6667,,Spine,2,0,Image 1,1,1,100000003,610000005254,
43.5,,Spine,2,10,Image 1,6,1,100000001,610000005257,
59,,Spine,2,1,Image 1,2,1,100000001,610000005260,
54.5,,Spine,2,5,Image 1,4,1,100000001,610000005263,
115.857,,Spine,2,0,Image 1,1,1,100000001,610000005270,
48,,Spine,2,11,Image 1,6,1,100000001,610000005272,
46.5,,Spine,2,10,Image 1,6,1,100000000,610000005275,
33.3333,,Spine,2,9,Image 1,5,1,100000000,610000005277,
92.6,,Spine,2,0,Image 1,1,1,100000001,610000005282,
61,,Spine,2,9,Image 1,3,1,100000001,610000005284,
104.4,,Spine,2,0,Image 1,1,1,100000001,610000005289,
92.25,,Spine,2,1,Image 1,1,1,100000000,610000005292,
57.6667,,Spine,2,4,Image 1,4,1,100000003,610000005294,
52,,Spine,2,8,Image 1,4,1,100000001,610000005296,
78,,Spine,2,6,Image 1,2,1,100000002,610000005298,
80,,Spine,2,0,Image 1,1,1,100000001,610000005301,
42,,Spine,2,1,Image 1,2,1,100000000,610000005304,
60.3333,,Spine,2,13,Image 1,3,1,100000000,610000005306,
73.5,,Spine,2,10,Image 1,3,1,100000001,610000005309,
63,,Spine,2,5,Image 1,3,1,100000000,610000005311,
40.6667,,Spine,2,2,Image 1,2,1,100000000,610000005314,
61.6667,,Spine,2,11,Image 1,3,1,100000000,610000005319,
70,,Spine,2,7,Image 1,3,1,100000000,610000005322,
80.25,,Spine,2,7,Image 1,2,1,100000000,610000005326,
94,,Spine,2,0,Image 1,1,1,100000003,610000005329,
74,,Spine,2,11,Image 1,3,1,100000000,610000005333,
61.6667,,Spine,2,0,Image 1,1,1,100000003,610000005335,
50,,Spine,2,0,Image 1,1,1,100000001,610000005337,
25.3333,,Spine,2,10,Image 1,4,1,100000001,610000005341,
122.6,,Spine,2,0,Image 1,1,1,100000001,610000005348,
61.5,,Spine,2,1,Image 1,1,1,100000003,610000005352,
121.667,,Spine,2,0,Image 1,1,1,100000001,610000005357,
128,,Spine,2,0,Image 1,1,1,100000001,610000005363,
96,,Spine,2,0,Image 1,1,1,100000003,610000005365,
93,,Spine,2,0,Image 1,1,1,100000001,610000005367,
58,,Spine,2,6,Image 1,3,1,100000001,610000005370,
97.5,,Spine,2,6,Image 1,3,1,100000001,610000005377,
111.75,,Spine,2,0,Image 1,1,1,100000001,610000005381,
70.25,,Spine,2,6,Image 1,2,1,100000001,610000005384,
77,,Spine,2,2,Image 1,2,1,100000000,610000005386,
65,,Spine,2,0,Image 1,1,1,100000001,610000005390,
75,,Spine,2,5,Image 1,1,1,100000000,610000005392,
126,,Spine,2,0,Image 1,1,1,100000001,610000005397,
80.6667,,Spine,2,13,Image 1,4,1,100000000,610000005400,
58.6667,,Spine,2,1,Image 1,2,1,100000001,610000005403,
68,,Spine,2,6,Image 1,3,1,100000001,610000005406,
68.3333,,Spine,2,11,Image 1,4,1,100000001,610000005408,
122.4,,Spine,2,0,Image 1,1,1,100000001,610000005415,
51.3333,,Spine,2,3,Image 1,3,1,100000003,610000005420,
114.25,,Spine,2,0,Image 1,1,1,100000001,610000005425,
82.6667,,Spine,2,3,Image 1,2,1,100000002,610000005427,
114.75,,Spine,2,0,Image 1,1,1,100000001,610000005431,
90.3333,,Spine,2,0,Image 1,1,1,100000001,610000005436,
91,,Spine,2,12,Image 1,4,1,100000001,610000005443,
111.8,,Spine,2,0,Image 1,1,1,100000000,610000005449,
123.333,,Spine,2,0,Image 1,1,1,100000001,610000005452,
121.667,,Spine,2,0,Image 1,1,1,100000001,610000005456,
138.667,,Spine,2,0,Image 1,1,1,100000001,610000005459,
96,,Spine,2,15,Image 1,7,1,100000001,610000005461,
83.6667,,Spine,2,5,Image 1,2,1,100000002,610000005465,
103.5,,Spine,2,0,Image 1,1,1,100000001,610000005468,
58,,Spine,2,1,Image 1,2,1,100000000,610000005473,
151.5,,Spine,2,1,Image 1,2,1,100000000,610000005480,
83,,Spine,2,7,Image 1,2,1,100000000,610000005483,
73,,Spine,2,0,Image 1,1,1,100000001,610000005485,
98.3333,,Spine,2,9,Image 1,2,1,100000000,610000005487,
86.6667,,Spine,2,0,Image 1,1,1,100000001,610000005489,
57.6667,,Spine,2,5,Image 1,2,1,100000002,610000005496,
126,,Spine,2,0,Image 1,1,1,100000001,610000005499,
128,,Spine,2,0,Image 1,1,1,100000001,610000005501,
104,,Spine,2,2,Image 1,1,1,100000000,610000005503,
161,,Spine,2,0,Image 1,1,1,100000001,610000005507,
124.333,,Spine,2,0,Image 1,1,1,100000000,610000005509,
140.667,,Spine,2,0,Image 1,1,1,100000001,610000005514,
96,,Spine,2,0,Image 1,1,1,100000001,610000005516,
83,,Spine,2,3,Image 1,2,1,100000000,610000005520,
108,,Spine,2,1,Image 1,1,1,100000001,610000005522,
151.5,,Spine,2,0,Image 1,1,1,100000001,610000005525,
144.5,,Spine,2,0,Image 1,1,1,100000001,610000005531,
78,,Spine,2,1,Image 1,2,1,100000000,610000005540,
139.5,,Spine,2,0,Image 1,1,1,100000001,610000005542,
135.5,,Spine,2,0,Image 1,1,1,100000001,610000005546,
117,,Spine,2,0,Image 1,1,1,100000001,610000005554,
178.5,,Spine,2,0,Image 1,1,1,100000001,610000005559,
137,,Spine,2,0,Image 1,1,1,100000001,610000005561,
43.5,,Spine,2,10,Image 1,3,1,100000000,610000005587,
62.5,,Spine,2,13,Image 1,3,1,100000000,610000005588,
50,,Spine,2,12,Image 1,3,1,100000000,610000005589,
121.5,,Spine,2,11,Image 1,2,1,100000000,610000005590,
77.5,,Spine,2,12,Image 1,3,1,100000000,610000005591,
79,,Spine,2,11,Image 1,3,1,100000000,610000005592,
80.5,,Spine,2,11,Image 1,3,1,100000000,610000005593,
111.5,,Spine,2,9,Image 1,2,1,100000000,610000005594,
102,,Spine,2,9,Image 1,2,1,100000000,610000005595,
82,,Spine,2,9,Image 1,2,1,100000000,610000005596,
35.5,,Spine,2,10,Image 1,4,1,100000000,610000005597,
118.5,,Spine,2,7,Image 1,2,1,100000000,610000005598,
39.5,,Spine,2,9,Image 1,2,1,100000000,610000005599,
83,,Spine,2,8,Image 1,2,1,100000000,610000005600,
156.5,,Spine,2,7,Image 1,1,1,100000000,610000005601,
56,,Spine,2,12,Image 1,6,1,100000000,610000005602,
91.5,,Spine,2,7,Image 1,3,1,100000000,610000005603,
95,,Spine,2,5,Image 1,3,1,100000000,610000005604,
62,,Spine,2,0,Image 1,1,1,100000000,610000005605,
72.5,,Spine,2,5,Image 1,3,1,100000000,610000005606,
106,,Spine,2,5,Image 1,2,1,100000000,610000005607,
30,,Spine,2,4,Image 1,2,1,100000000,610000005608,
110.5,,Spine,2,3,Image 1,2,1,100000000,610000005609,
52.5,,Spine,2,3,Image 1,2,1,100000000,610000005610,
42,,Spine,2,1,Image 1,2,1,100000000,610000005611,
115,,Spine,2,0,Image 1,1,1,100000000,610000005612,
143,,Spine,2,1,Image 1,1,1,100000000,610000005613,
134,,Spine,2,0,Image 1,1,1,100000000,610000005614,
104,,Spine,2,0,Image 1,1,1,100000000,610000005615,
55,,Spine,2,9,Image 1,3,1,100000000,610000005617,
118.5,,Spine,2,7,Image 1,3,1,100000000,610000005618,
78.5,,Spine,2,4,Image 1,1,1,100000000,610000005619,
100,,Spine,2,2,Image 1,1,1,100000000,610000005620,
65.5,,Spine,2,1,Image 1,1,1,100000000,610000005621,
89,,Spine,2,1,Image 1,1,1,100000000,610000005622,
56,,Spine,2,4,Image 1,3,1,100000000,610000005623,
69,,Spine,2,4,Image 1,3,1,100000000,610000005624,
77,,Spine,2,4,Image 1,3,1,100000000,610000005625,
84.5,,Spine,2,4,Image 1,3,1,100000000,610000005626,
33.5,,Spine,2,4,Image 1,4,1,100000000,610000005627,
124.5,,Spine,2,4,Image 1,4,1,100000000,610000005628,
87,,Spine,2,2,Image 1,2,1,100000000,610000005629,
47.5,,Spine,2,14,Image 1,6,1,100000001,610000005633,
62.5,,Spine,2,13,Image 1,6,1,100000001,610000005634,
65,,Spine,2,13,Image 1,6,1,100000001,610000005635,
