
Intensity Sum of Square Ch=5 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.30082e+06,,Surface,5,Image 1,1,0,
625495,,Surface,5,Image 1,1,1,
101983,,Surface,5,Image 1,1,2,
3439,,Surface,5,Image 1,1,3,
