
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.269496,µm,Segment,11,3,1,100000000,510000002311,
0.286264,µm,Segment,10,3,1,100000000,510000002314,
0.239508,µm,Segment,12,4,1,100000000,510000002318,
0.307021,µm,Segment,13,5,1,100000000,510000002320,
0.358083,µm,Segment,10,3,1,100000001,510000002338,
0.274702,µm,Segment,7,3,1,100000001,510000002371,
0.4147,µm,Segment,6,3,1,100000001,510000002373,
0.304063,µm,Segment,5,3,1,100000001,510000002467,
0.375643,µm,Segment,4,3,1,100000001,510000002472,
0.2512,µm,Segment,8,4,1,100000000,510000002479,
0.299761,µm,Segment,12,6,1,100000000,510000002484,
0.223339,µm,Segment,11,4,1,100000000,510000002487,
0.292278,µm,Segment,8,5,1,100000001,510000002512,
0.377776,µm,Segment,7,4,1,100000001,510000002516,
0.318324,µm,Segment,6,3,1,100000001,510000002593,
0.272966,µm,Segment,7,4,1,100000001,510000002601,
0.300303,µm,Segment,7,3,1,100000000,510000002632,
0.326977,µm,Segment,6,3,1,100000000,510000002639,
0.306312,µm,Segment,5,3,1,100000000,510000002669,
0.312646,µm,Segment,4,3,1,100000000,510000002737,
0.374018,µm,Segment,3,2,1,100000000,510000002775,
0.328653,µm,Segment,2,2,1,100000000,510000002779,
0.319969,µm,Segment,1,1,1,100000000,510000002785,
0.43294,µm,Segment,0,1,1,100000000,510000002801,
0.284225,µm,Segment,10,4,1,100000000,510000002826,
0.320804,µm,Segment,9,4,1,100000000,510000002850,
0.31422,µm,Segment,9,4,1,100000001,510000002861,
0.305663,µm,Segment,6,4,1,100000001,510000002875,
0.329939,µm,Segment,7,4,1,100000000,510000002880,
0.43661,µm,Segment,5,1,1,100000000,510000002899,
0.32137,µm,Segment,12,3,1,100000000,510000002904,
0.301545,µm,Segment,11,3,1,100000000,510000002944,
0.311071,µm,Segment,5,4,1,100000002,510000002947,
0.319466,µm,Segment,12,4,1,100000000,510000002949,
0.271992,µm,Segment,11,6,1,100000000,510000002952,
0.252806,µm,Segment,10,5,1,100000000,510000002956,
0.245734,µm,Segment,5,3,1,100000002,510000002981,
0.290609,µm,Segment,4,2,1,100000002,510000002983,
0.301485,µm,Segment,3,1,1,100000002,510000003011,
0.337285,µm,Segment,2,1,1,100000002,510000003021,
0.374118,µm,Segment,1,1,1,100000002,510000003029,
0.296691,µm,Segment,10,6,1,100000000,510000003038,
0.353934,µm,Segment,6,2,1,100000000,510000003041,
0.270791,µm,Segment,9,3,1,100000001,510000003058,
0.277498,µm,Segment,8,4,1,100000001,510000003107,
0.298623,µm,Segment,7,4,1,100000001,510000003115,
0.316968,µm,Segment,6,3,1,100000001,510000003144,
0.319617,µm,Segment,8,4,1,100000001,510000003147,
0.276272,µm,Segment,7,4,1,100000000,510000003149,
0.343142,µm,Segment,8,3,1,100000000,510000003152,
0.296346,µm,Segment,5,2,1,100000002,510000003169,
0.275001,µm,Segment,6,4,1,100000000,510000003171,
0.341326,µm,Segment,10,2,1,100000001,510000003177,
0.334699,µm,Segment,12,2,1,100000000,510000003188,
0.286395,µm,Segment,4,3,1,100000002,510000003199,
0.289945,µm,Segment,3,3,1,100000002,510000003255,
0.24828,µm,Segment,6,2,1,100000000,510000003265,
0.336323,µm,Segment,5,2,1,100000000,510000003313,
0.316182,µm,Segment,4,2,1,100000000,510000003327,
0.196283,µm,Segment,6,3,1,100000000,510000003331,
0.401859,µm,Segment,7,3,1,100000001,510000003334,
0.252467,µm,Segment,5,4,1,100000003,510000003339,
0.288662,µm,Segment,4,3,1,100000003,510000003364,
0.288166,µm,Segment,3,3,1,100000003,510000003394,
0.335992,µm,Segment,2,3,1,100000003,510000003414,
0.382469,µm,Segment,1,2,1,100000003,510000003423,
0.471222,µm,Segment,0,1,1,100000003,510000003439,
0.264101,µm,Segment,4,4,1,100000002,510000003442,
0.322948,µm,Segment,7,3,1,100000001,510000003447,
0.349986,µm,Segment,5,3,1,100000003,510000003449,
0.317449,µm,Segment,5,3,1,100000000,510000003484,
0.325081,µm,Segment,4,3,1,100000000,510000003549,
0.315071,µm,Segment,3,3,1,100000000,510000003553,
0.343057,µm,Segment,2,3,1,100000000,510000003558,
0.226207,µm,Segment,8,5,1,100000001,510000003563,
0.300926,µm,Segment,5,4,1,100000000,510000003565,
0.284059,µm,Segment,5,4,1,100000000,510000003573,
0.29882,µm,Segment,4,1,1,100000002,510000003575,
0.287476,µm,Segment,4,3,1,100000002,510000003579,
0.299776,µm,Segment,8,5,1,100000001,510000003586,
0.3472,µm,Segment,6,1,1,100000002,510000003593,
0.370596,µm,Segment,5,1,1,100000002,510000003618,
0.321153,µm,Segment,3,3,1,100000003,510000003677,
0.354241,µm,Segment,2,2,1,100000003,510000003728,
0.250107,µm,Segment,6,2,1,100000002,510000003734,
0.294163,µm,Segment,2,2,1,100000001,510000003741,
0.346022,µm,Segment,1,2,1,100000001,510000003808,
0.557215,µm,Segment,0,1,1,100000001,510000003827,
0.256339,µm,Segment,2,3,1,100000001,510000003838,
0.32016,µm,Segment,10,3,1,100000000,510000003843,
0.3013,µm,Segment,7,3,1,100000001,510000003846,
0.308426,µm,Segment,6,3,1,100000002,510000003848,
0.257892,µm,Segment,3,2,1,100000002,510000003889,
0.354788,µm,Segment,4,2,1,100000002,510000003894,
0.302814,µm,Segment,7,4,1,100000000,510000003904,
0.242028,µm,Segment,9,2,1,100000000,510000003909,
0.328105,µm,Segment,8,2,1,100000000,510000003955,
0.396582,µm,Segment,7,1,1,100000000,510000003968,
0.307671,µm,Segment,8,3,1,100000000,510000003994,
0.238839,µm,Segment,4,4,1,100000003,510000004000,
0.25273,µm,Segment,7,5,1,100000001,510000004002,
0.214577,µm,Segment,9,3,1,100000000,510000004005,
0.245289,µm,Segment,5,3,1,100000000,510000004010,
0.302146,µm,Segment,5,4,1,100000001,510000004034,
0.355815,µm,Segment,8,1,1,100000000,510000004048,
0.310201,µm,Segment,3,3,1,100000003,510000004074,
0.323299,µm,Segment,2,2,1,100000003,510000004098,
0.402126,µm,Segment,1,1,1,100000003,510000004135,
0.325427,µm,Segment,2,2,1,100000001,510000004166,
0.328032,µm,Segment,3,2,1,100000003,510000004173,
0.302184,µm,Segment,4,2,1,100000000,510000004181,
0.321917,µm,Segment,0,1,1,100000001,510000004226,
0.359802,µm,Segment,3,2,1,100000003,510000004231,
0.365438,µm,Segment,2,2,1,100000000,510000004264,
0.25465,µm,Segment,3,3,1,100000000,510000004270,
0.359204,µm,Segment,2,2,1,100000000,510000004313,
0.329298,µm,Segment,3,2,1,100000000,510000004322,
0.277457,µm,Segment,2,3,1,100000001,510000004352,
0.46783,µm,Segment,1,2,1,100000001,510000004367,
0.270555,µm,Segment,4,3,1,100000000,510000004375,
0.297674,µm,Segment,6,4,1,100000000,510000004384,
0.256307,µm,Segment,1,2,1,100000000,510000004400,
0.308981,µm,Segment,4,2,1,100000000,510000004404,
0.255823,µm,Segment,3,4,1,100000003,510000004410,
0.348272,µm,Segment,1,1,1,100000001,510000004445,
0.267733,µm,Segment,1,2,1,100000001,510000004482,
0.367247,µm,Segment,0,1,1,100000001,510000004531,
0.382308,µm,Segment,2,1,1,100000003,510000004550,
0.369123,µm,Segment,2,2,1,100000001,510000004555,
0.308265,µm,Segment,5,2,1,100000000,510000004562,
0.30328,µm,Segment,4,4,1,100000000,510000004577,
0.381716,µm,Segment,6,2,1,100000000,510000004582,
0.316653,µm,Segment,2,2,1,100000002,510000004584,
0.326326,µm,Segment,2,2,1,100000000,510000004599,
0.291483,µm,Segment,3,3,1,100000000,510000004610,
0.290376,µm,Segment,3,2,1,100000002,510000004619,
