
Spine Neck Mean Diameter
 ==================== 
Spine Neck Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.172526,µm,Spine,10,4,1,100000000,610000005085,
0.300844,µm,Spine,5,3,1,100000000,610000005089,
0.198089,µm,Spine,12,3,1,100000000,610000005092,
0.255225,µm,Spine,14,6,1,100000001,610000005096,
0.218242,µm,Spine,6,3,1,100000000,610000005101,
0.309115,µm,Spine,1,1,1,100000001,610000005106,
0.1625,µm,Spine,10,6,1,100000001,610000005109,
0.306726,µm,Spine,11,3,1,100000000,610000005121,
0.273893,µm,Spine,10,6,1,100000001,610000005124,
0.222544,µm,Spine,6,3,1,100000001,610000005127,
0.238348,µm,Spine,5,3,1,100000000,610000005132,
0.363532,µm,Spine,0,1,1,100000000,610000005136,
0.1625,µm,Spine,4,2,1,100000000,610000005138,
0.391348,µm,Spine,4,1,1,100000002,610000005141,
0.24375,µm,Spine,3,3,1,100000003,610000005143,
0.330078,µm,Spine,7,3,1,100000000,610000005145,
0.398145,µm,Spine,0,1,1,100000003,610000005148,
0.303929,µm,Spine,5,3,1,100000000,610000005151,
0.284375,µm,Spine,3,3,1,100000002,610000005153,
0.507264,µm,Spine,1,2,1,100000001,610000005155,
0.1625,µm,Spine,7,3,1,100000000,610000005157,
0.325,µm,Spine,4,3,1,100000000,610000005160,
0.1625,µm,Spine,11,4,1,100000001,610000005162,
0.276472,µm,Spine,13,3,1,100000000,610000005166,
0.483195,µm,Spine,8,3,1,100000000,610000005169,
0.35641,µm,Spine,2,3,1,100000003,610000005171,
0.444669,µm,Spine,0,1,1,100000001,610000005180,
0.28347,µm,Spine,5,2,1,100000002,610000005184,
0.261523,µm,Spine,0,1,1,100000001,610000005189,
0.266862,µm,Spine,12,6,1,100000001,610000005192,
0.340659,µm,Spine,12,3,1,100000001,610000005196,
0.321509,µm,Spine,9,3,1,100000001,610000005198,
0.195981,µm,Spine,9,5,1,100000001,610000005200,
0.222476,µm,Spine,9,4,1,100000000,610000005202,
0.333134,µm,Spine,8,3,1,100000000,610000005205,
0.426227,µm,Spine,0,1,1,100000001,610000005214,
0.1625,µm,Spine,4,2,1,100000000,610000005216,
0.415846,µm,Spine,2,2,1,100000000,610000005219,
