
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.0685,261.897,µm^3,Cumulative Volume Outside,Image 1,1,,
0.2055,488.505,µm^3,Cumulative Volume Outside,Image 1,1,,
0.3425,707.123,µm^3,Cumulative Volume Outside,Image 1,1,,
0.4795,905.261,µm^3,Cumulative Volume Outside,Image 1,1,,
0.6165,1096.36,µm^3,Cumulative Volume Outside,Image 1,1,,
0.7535,1286.49,µm^3,Cumulative Volume Outside,Image 1,1,,
0.8905,1466.39,µm^3,Cumulative Volume Outside,Image 1,1,,
1.0275,1639.36,µm^3,Cumulative Volume Outside,Image 1,1,,
1.1645,1809.48,µm^3,Cumulative Volume Outside,Image 1,1,,
1.3015,1972.7,µm^3,Cumulative Volume Outside,Image 1,1,,
1.4385,2129.77,µm^3,Cumulative Volume Outside,Image 1,1,,
1.5755,2280.21,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7125,2425.4,µm^3,Cumulative Volume Outside,Image 1,1,,
1.8495,2565.67,µm^3,Cumulative Volume Outside,Image 1,1,,
1.9865,2699.56,µm^3,Cumulative Volume Outside,Image 1,1,,
2.1235,2826.66,µm^3,Cumulative Volume Outside,Image 1,1,,
2.2605,2947.59,µm^3,Cumulative Volume Outside,Image 1,1,,
2.3975,3063.37,µm^3,Cumulative Volume Outside,Image 1,1,,
2.5345,3174.79,µm^3,Cumulative Volume Outside,Image 1,1,,
2.6715,3282.44,µm^3,Cumulative Volume Outside,Image 1,1,,
2.8085,3386.79,µm^3,Cumulative Volume Outside,Image 1,1,,
2.9455,3488.07,µm^3,Cumulative Volume Outside,Image 1,1,,
3.0825,3586.98,µm^3,Cumulative Volume Outside,Image 1,1,,
3.2195,3683.46,µm^3,Cumulative Volume Outside,Image 1,1,,
3.3565,3778.13,µm^3,Cumulative Volume Outside,Image 1,1,,
3.4935,3871.24,µm^3,Cumulative Volume Outside,Image 1,1,,
3.6305,3962.75,µm^3,Cumulative Volume Outside,Image 1,1,,
3.7675,4052.7,µm^3,Cumulative Volume Outside,Image 1,1,,
3.9045,4140.75,µm^3,Cumulative Volume Outside,Image 1,1,,
4.0415,4226.98,µm^3,Cumulative Volume Outside,Image 1,1,,
4.1785,4311.11,µm^3,Cumulative Volume Outside,Image 1,1,,
4.3155,4393.41,µm^3,Cumulative Volume Outside,Image 1,1,,
4.4525,4473.97,µm^3,Cumulative Volume Outside,Image 1,1,,
4.5895,4552.72,µm^3,Cumulative Volume Outside,Image 1,1,,
