
Spine Intensity Median Ch=4 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
70.125,,Spine,4,0,Image 1,1,1,100000001,610000005415,
43.125,,Spine,4,3,Image 1,3,1,100000003,610000005420,
104.125,,Spine,4,0,Image 1,1,1,100000001,610000005425,
64.0625,,Spine,4,3,Image 1,2,1,100000002,610000005427,
74.125,,Spine,4,0,Image 1,1,1,100000001,610000005431,
77.125,,Spine,4,0,Image 1,1,1,100000001,610000005436,
62.125,,Spine,4,12,Image 1,4,1,100000001,610000005443,
111.125,,Spine,4,0,Image 1,1,1,100000000,610000005449,
85.125,,Spine,4,0,Image 1,1,1,100000001,610000005452,
85.125,,Spine,4,0,Image 1,1,1,100000001,610000005456,
127.125,,Spine,4,0,Image 1,1,1,100000001,610000005459,
59.125,,Spine,4,15,Image 1,7,1,100000001,610000005461,
45.0625,,Spine,4,5,Image 1,2,1,100000002,610000005465,
94.625,,Spine,4,0,Image 1,1,1,100000001,610000005468,
59.0625,,Spine,4,1,Image 1,2,1,100000000,610000005473,
107.125,,Spine,4,1,Image 1,2,1,100000000,610000005480,
56.625,,Spine,4,7,Image 1,2,1,100000000,610000005483,
69.625,,Spine,4,0,Image 1,1,1,100000001,610000005485,
64.125,,Spine,4,9,Image 1,2,1,100000000,610000005487,
51.125,,Spine,4,0,Image 1,1,1,100000001,610000005489,
40.5625,,Spine,4,5,Image 1,2,1,100000002,610000005496,
91.125,,Spine,4,0,Image 1,1,1,100000001,610000005499,
98.125,,Spine,4,0,Image 1,1,1,100000001,610000005501,
89.125,,Spine,4,2,Image 1,1,1,100000000,610000005503,
124.125,,Spine,4,0,Image 1,1,1,100000001,610000005507,
104.125,,Spine,4,0,Image 1,1,1,100000000,610000005509,
104.625,,Spine,4,0,Image 1,1,1,100000001,610000005514,
92.125,,Spine,4,0,Image 1,1,1,100000001,610000005516,
83.125,,Spine,4,3,Image 1,2,1,100000000,610000005520,
97.125,,Spine,4,1,Image 1,1,1,100000001,610000005522,
140.125,,Spine,4,0,Image 1,1,1,100000001,610000005525,
88.125,,Spine,4,0,Image 1,1,1,100000001,610000005531,
109.125,,Spine,4,1,Image 1,2,1,100000000,610000005540,
132.562,,Spine,4,0,Image 1,1,1,100000001,610000005542,
134.625,,Spine,4,0,Image 1,1,1,100000001,610000005546,
126.562,,Spine,4,0,Image 1,1,1,100000001,610000005554,
115.125,,Spine,4,0,Image 1,1,1,100000001,610000005559,
90.125,,Spine,4,0,Image 1,1,1,100000001,610000005561,
12.0625,,Spine,4,10,Image 1,3,1,100000000,610000005587,
53.125,,Spine,4,13,Image 1,3,1,100000000,610000005588,
39.125,,Spine,4,12,Image 1,3,1,100000000,610000005589,
73.125,,Spine,4,11,Image 1,2,1,100000000,610000005590,
51.0625,,Spine,4,12,Image 1,3,1,100000000,610000005591,
48.125,,Spine,4,11,Image 1,3,1,100000000,610000005592,
50.5625,,Spine,4,11,Image 1,3,1,100000000,610000005593,
75.125,,Spine,4,9,Image 1,2,1,100000000,610000005594,
63.125,,Spine,4,9,Image 1,2,1,100000000,610000005595,
92.125,,Spine,4,9,Image 1,2,1,100000000,610000005596,
28.5625,,Spine,4,10,Image 1,4,1,100000000,610000005597,
68.125,,Spine,4,7,Image 1,2,1,100000000,610000005598,
46.0625,,Spine,4,9,Image 1,2,1,100000000,610000005599,
69.125,,Spine,4,8,Image 1,2,1,100000000,610000005600,
97.125,,Spine,4,7,Image 1,1,1,100000000,610000005601,
36.0625,,Spine,4,12,Image 1,6,1,100000000,610000005602,
46.625,,Spine,4,7,Image 1,3,1,100000000,610000005603,
61.125,,Spine,4,5,Image 1,3,1,100000000,610000005604,
63.125,,Spine,4,0,Image 1,1,1,100000000,610000005605,
37.0625,,Spine,4,5,Image 1,3,1,100000000,610000005606,
74.125,,Spine,4,5,Image 1,2,1,100000000,610000005607,
27.0625,,Spine,4,4,Image 1,2,1,100000000,610000005608,
74.625,,Spine,4,3,Image 1,2,1,100000000,610000005609,
48.625,,Spine,4,3,Image 1,2,1,100000000,610000005610,
10.5625,,Spine,4,1,Image 1,2,1,100000000,610000005611,
84.625,,Spine,4,0,Image 1,1,1,100000000,610000005612,
145.125,,Spine,4,1,Image 1,1,1,100000000,610000005613,
113.125,,Spine,4,0,Image 1,1,1,100000000,610000005614,
109.062,,Spine,4,0,Image 1,1,1,100000000,610000005615,
29.0625,,Spine,4,9,Image 1,3,1,100000000,610000005617,
68.125,,Spine,4,7,Image 1,3,1,100000000,610000005618,
56.0625,,Spine,4,4,Image 1,1,1,100000000,610000005619,
92.125,,Spine,4,2,Image 1,1,1,100000000,610000005620,
62.625,,Spine,4,1,Image 1,1,1,100000000,610000005621,
62.625,,Spine,4,1,Image 1,1,1,100000000,610000005622,
49.0625,,Spine,4,4,Image 1,3,1,100000000,610000005623,
64.125,,Spine,4,4,Image 1,3,1,100000000,610000005624,
44.0625,,Spine,4,4,Image 1,3,1,100000000,610000005625,
52.5625,,Spine,4,4,Image 1,3,1,100000000,610000005626,
36.0625,,Spine,4,4,Image 1,4,1,100000000,610000005627,
64.125,,Spine,4,4,Image 1,4,1,100000000,610000005628,
63.625,,Spine,4,2,Image 1,2,1,100000000,610000005629,
37.0625,,Spine,4,14,Image 1,6,1,100000001,610000005633,
42.0625,,Spine,4,13,Image 1,6,1,100000001,610000005634,
48.125,,Spine,4,13,Image 1,6,1,100000001,610000005635,
56.125,,Spine,4,10,Image 1,6,1,100000001,610000005636,
44.0625,,Spine,4,10,Image 1,6,1,100000001,610000005637,
41.5625,,Spine,4,8,Image 1,5,1,100000001,610000005638,
51.0625,,Spine,4,6,Image 1,3,1,100000001,610000005639,
70.625,,Spine,4,12,Image 1,4,1,100000001,610000005640,
67.625,,Spine,4,12,Image 1,4,1,100000001,610000005641,
37.125,,Spine,4,12,Image 1,4,1,100000001,610000005642,
37.0625,,Spine,4,12,Image 1,4,1,100000001,610000005643,
28.5312,,Spine,4,12,Image 1,3,1,100000001,610000005644,
33.0625,,Spine,4,10,Image 1,4,1,100000001,610000005645,
50.125,,Spine,4,10,Image 1,3,1,100000001,610000005646,
68.125,,Spine,4,10,Image 1,3,1,100000001,610000005647,
66.125,,Spine,4,6,Image 1,3,1,100000001,610000005648,
67.625,,Spine,4,6,Image 1,3,1,100000001,610000005649,
76.125,,Spine,4,6,Image 1,3,1,100000001,610000005650,
65.125,,Spine,4,6,Image 1,3,1,100000001,610000005651,
97.125,,Spine,4,6,Image 1,3,1,100000001,610000005652,
70.625,,Spine,4,6,Image 1,3,1,100000001,610000005653,
68.125,,Spine,4,5,Image 1,3,1,100000001,610000005654,
29.5625,,Spine,4,5,Image 1,3,1,100000001,610000005655,
63.0625,,Spine,4,5,Image 1,4,1,100000001,610000005656,
76.125,,Spine,4,2,Image 1,1,1,100000001,610000005657,
30.0625,,Spine,4,2,Image 1,2,1,100000001,610000005658,
36.0625,,Spine,4,1,Image 1,2,1,100000001,610000005660,
40.0625,,Spine,4,1,Image 1,2,1,100000001,610000005661,
