
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-2.2605,14.2832,µm^3,Volume Inside,Image 1,1,,
-2.1235,36.9125,µm^3,Volume Inside,Image 1,1,,
-1.9865,57.0358,µm^3,Volume Inside,Image 1,1,,
-1.8495,79.6448,µm^3,Volume Inside,Image 1,1,,
-1.7125,88.4209,µm^3,Volume Inside,Image 1,1,,
-1.5755,103.976,µm^3,Volume Inside,Image 1,1,,
-1.4385,128.471,µm^3,Volume Inside,Image 1,1,,
-1.3015,141.118,µm^3,Volume Inside,Image 1,1,,
-1.1645,162.521,µm^3,Volume Inside,Image 1,1,,
-1.0275,166.951,µm^3,Volume Inside,Image 1,1,,
-0.8905,186.373,µm^3,Volume Inside,Image 1,1,,
-0.7535,216.501,µm^3,Volume Inside,Image 1,1,,
-0.6165,222.536,µm^3,Volume Inside,Image 1,1,,
-0.4795,242.241,µm^3,Volume Inside,Image 1,1,,
-0.3425,273.468,µm^3,Volume Inside,Image 1,1,,
-0.2055,262.988,µm^3,Volume Inside,Image 1,1,,
-0.0685,261.302,µm^3,Volume Inside,Image 1,1,,
