
Spine Part Max Diameter Neck
 ==================== 
Spine Part Max Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,Spine Part Max Diameter,10,4,1,100000000,610000005085,
0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005089,
0.184459,µm,Spine,Spine Part Max Diameter,12,3,1,100000000,610000005092,
0,µm,Spine,Spine Part Max Diameter,14,6,1,100000001,610000005096,
0.194283,µm,Spine,Spine Part Max Diameter,6,3,1,100000000,610000005101,
0.182597,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000005106,
0.1625,µm,Spine,Spine Part Max Diameter,10,6,1,100000001,610000005109,
0.448738,µm,Spine,Spine Part Max Diameter,11,3,1,100000000,610000005121,
0.232039,µm,Spine,Spine Part Max Diameter,10,6,1,100000001,610000005124,
0.194238,µm,Spine,Spine Part Max Diameter,6,3,1,100000001,610000005127,
0.170551,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005132,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005136,
0,µm,Spine,Spine Part Max Diameter,4,2,1,100000000,610000005138,
0.331771,µm,Spine,Spine Part Max Diameter,4,1,1,100000002,610000005141,
0,µm,Spine,Spine Part Max Diameter,3,3,1,100000003,610000005143,
0,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000005145,
0.335156,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000005148,
0.2589,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000005151,
0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005153,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000005155,
0,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000005157,
0.325,µm,Spine,Spine Part Max Diameter,4,3,1,100000000,610000005160,
0,µm,Spine,Spine Part Max Diameter,11,4,1,100000001,610000005162,
0,µm,Spine,Spine Part Max Diameter,13,3,1,100000000,610000005166,
0.269337,µm,Spine,Spine Part Max Diameter,8,3,1,100000000,610000005169,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000003,610000005171,
0.409788,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005180,
0,µm,Spine,Spine Part Max Diameter,5,2,1,100000002,610000005184,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005189,
0.225704,µm,Spine,Spine Part Max Diameter,12,6,1,100000001,610000005192,
0,µm,Spine,Spine Part Max Diameter,12,3,1,100000001,610000005196,
0,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000005198,
0,µm,Spine,Spine Part Max Diameter,9,5,1,100000001,610000005200,
0,µm,Spine,Spine Part Max Diameter,9,4,1,100000000,610000005202,
0.275488,µm,Spine,Spine Part Max Diameter,8,3,1,100000000,610000005205,
0.798535,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005214,
0,µm,Spine,Spine Part Max Diameter,4,2,1,100000000,610000005216,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000000,610000005219,
0.669335,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005225,
0,µm,Spine,Spine Part Max Diameter,5,3,1,100000002,610000005227,
0,µm,Spine,Spine Part Max Diameter,9,2,1,100000000,610000005231,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005233,
0.359606,µm,Spine,Spine Part Max Diameter,4,3,1,100000002,610000005237,
0,µm,Spine,Spine Part Max Diameter,8,3,1,100000002,610000005239,
0,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000005242,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000003,610000005246,
0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005248,
0,µm,Spine,Spine Part Max Diameter,5,2,1,100000002,610000005250,
