
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.80073e+07,,Surface,2,Image 1,1,0,
557740,,Surface,2,Image 1,1,1,
