
Spine Part Mean Diameter Head
 ==================== 
Spine Part Mean Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.499858,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001938,
0.416667,µm,Spine,Spine Part Mean Diameter,3,1,1,100000000,610000001940,
0.812757,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001949,
0.833333,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001956,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001967,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001974,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001984,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001990,
0.638021,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000001995,
1.04167,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000001998,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002005,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002013,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002019,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002026,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002032,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002040,
0.786349,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002044,
0.905072,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002059,
0.425026,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002065,
2.05474,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002071,
1.29063,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002075,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002081,
0.574544,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002085,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002090,
0.562948,µm,Spine,Spine Part Mean Diameter,5,3,1,100000000,610000002093,
1.05304,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002101,
0.997138,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002112,
1.12793,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002116,
2.7474,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002121,
0.574544,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002124,
1.10391,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002127,
0.869424,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002131,
1.29063,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002134,
0.97168,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002137,
2.28881,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002142,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002146,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002149,
1.43113,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002152,
0.524699,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000002154,
