
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-11.911,10.6111,µm^3,Volume,Image 1,1,,
-11.357,37.0556,µm^3,Volume,Image 1,1,,
-10.803,101.556,µm^3,Volume,Image 1,1,,
-10.249,202.264,µm^3,Volume,Image 1,1,,
-9.695,306.111,µm^3,Volume,Image 1,1,,
-9.141,433.181,µm^3,Volume,Image 1,1,,
-8.587,586.778,µm^3,Volume,Image 1,1,,
-8.033,758.042,µm^3,Volume,Image 1,1,,
-7.479,942,µm^3,Volume,Image 1,1,,
-6.925,1144.75,µm^3,Volume,Image 1,1,,
-6.371,1373.9,µm^3,Volume,Image 1,1,,
-5.817,1653.67,µm^3,Volume,Image 1,1,,
-5.263,1981.43,µm^3,Volume,Image 1,1,,
-4.709,2155.26,µm^3,Volume,Image 1,1,,
-4.155,2363.25,µm^3,Volume,Image 1,1,,
-3.601,2625.97,µm^3,Volume,Image 1,1,,
-3.047,2909.97,µm^3,Volume,Image 1,1,,
-2.493,3205.28,µm^3,Volume,Image 1,1,,
-1.939,3486.46,µm^3,Volume,Image 1,1,,
-1.385,3794.24,µm^3,Volume,Image 1,1,,
-0.831,4037.14,µm^3,Volume,Image 1,1,,
-0.277,4221.15,µm^3,Volume,Image 1,1,,
0.276999,4371.18,µm^3,Volume,Image 1,1,,
0.831,4089.54,µm^3,Volume,Image 1,1,,
1.385,4009.36,µm^3,Volume,Image 1,1,,
1.939,4040.6,µm^3,Volume,Image 1,1,,
2.493,4148.69,µm^3,Volume,Image 1,1,,
3.047,4225.26,µm^3,Volume,Image 1,1,,
3.601,4288.36,µm^3,Volume,Image 1,1,,
4.155,4334.78,µm^3,Volume,Image 1,1,,
4.709,4382.03,µm^3,Volume,Image 1,1,,
5.263,4415.11,µm^3,Volume,Image 1,1,,
5.817,4384.38,µm^3,Volume,Image 1,1,,
6.371,4344.96,µm^3,Volume,Image 1,1,,
6.925,4324.43,µm^3,Volume,Image 1,1,,
7.479,4336.42,µm^3,Volume,Image 1,1,,
8.033,4359.4,µm^3,Volume,Image 1,1,,
8.587,4380.9,µm^3,Volume,Image 1,1,,
9.141,4397.64,µm^3,Volume,Image 1,1,,
9.695,4422.1,µm^3,Volume,Image 1,1,,
10.249,4411.65,µm^3,Volume,Image 1,1,,
10.803,4343.88,µm^3,Volume,Image 1,1,,
11.357,4247.92,µm^3,Volume,Image 1,1,,
11.911,4155.64,µm^3,Volume,Image 1,1,,
12.465,4048.08,µm^3,Volume,Image 1,1,,
13.019,3986.43,µm^3,Volume,Image 1,1,,
13.573,3916.01,µm^3,Volume,Image 1,1,,
14.127,3865.58,µm^3,Volume,Image 1,1,,
14.681,3812.54,µm^3,Volume,Image 1,1,,
15.235,3770.29,µm^3,Volume,Image 1,1,,
15.789,3723.47,µm^3,Volume,Image 1,1,,
16.343,3683.39,µm^3,Volume,Image 1,1,,
16.897,3662.81,µm^3,Volume,Image 1,1,,
17.451,3625.26,µm^3,Volume,Image 1,1,,
18.005,3599.64,µm^3,Volume,Image 1,1,,
18.559,3546.38,µm^3,Volume,Image 1,1,,
19.113,3525.29,µm^3,Volume,Image 1,1,,
19.667,3526.5,µm^3,Volume,Image 1,1,,
20.221,3496.14,µm^3,Volume,Image 1,1,,
20.775,3494.18,µm^3,Volume,Image 1,1,,
21.329,3473.83,µm^3,Volume,Image 1,1,,
21.883,3461.64,µm^3,Volume,Image 1,1,,
22.437,3430.63,µm^3,Volume,Image 1,1,,
22.991,3436.78,µm^3,Volume,Image 1,1,,
23.545,3414.61,µm^3,Volume,Image 1,1,,
24.099,3409.15,µm^3,Volume,Image 1,1,,
24.653,3369.69,µm^3,Volume,Image 1,1,,
25.207,3348.6,µm^3,Volume,Image 1,1,,
25.761,3340.46,µm^3,Volume,Image 1,1,,
26.315,3296.03,µm^3,Volume,Image 1,1,,
26.869,3245.97,µm^3,Volume,Image 1,1,,
27.423,3161.72,µm^3,Volume,Image 1,1,,
27.977,3090.6,µm^3,Volume,Image 1,1,,
28.531,2988.76,µm^3,Volume,Image 1,1,,
29.085,2903.53,µm^3,Volume,Image 1,1,,
29.639,2796.32,µm^3,Volume,Image 1,1,,
30.193,2720.13,µm^3,Volume,Image 1,1,,
30.747,2619.96,µm^3,Volume,Image 1,1,,
31.301,2540.72,µm^3,Volume,Image 1,1,,
