
Spine Center Intensity Sum Ch=3 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
171,,Spine,3,0,Image 1,1,1,100000000,610000001938,
94,,Spine,3,3,Image 1,1,1,100000000,610000001940,
816,,Spine,3,0,Image 1,1,1,100000000,610000001949,
737,,Spine,3,0,Image 1,1,1,100000000,610000001956,
1116,,Spine,3,0,Image 1,1,1,100000000,610000001967,
713,,Spine,3,0,Image 1,1,1,100000000,610000001974,
1214,,Spine,3,0,Image 1,1,1,100000000,610000001984,
575,,Spine,3,0,Image 1,1,1,100000000,610000001990,
452,,Spine,3,5,Image 1,3,1,100000000,610000001995,
97,,Spine,3,0,Image 1,1,1,100000000,610000001998,
754,,Spine,3,0,Image 1,1,1,100000000,610000002005,
922,,Spine,3,0,Image 1,1,1,100000000,610000002013,
598,,Spine,3,0,Image 1,1,1,100000000,610000002019,
724,,Spine,3,0,Image 1,1,1,100000000,610000002026,
635,,Spine,3,0,Image 1,1,1,100000000,610000002032,
707,,Spine,3,0,Image 1,1,1,100000000,610000002040,
234,,Spine,3,0,Image 1,1,1,100000001,610000002044,
1577,,Spine,3,2,Image 1,2,1,100000001,610000002059,
668,,Spine,3,0,Image 1,1,1,100000000,610000002065,
431,,Spine,3,0,Image 1,1,1,100000000,610000002071,
278,,Spine,3,0,Image 1,1,1,100000001,610000002075,
584,,Spine,3,0,Image 1,1,1,100000000,610000002081,
243,,Spine,3,0,Image 1,1,1,100000000,610000002085,
547,,Spine,3,0,Image 1,1,1,100000000,610000002090,
265,,Spine,3,5,Image 1,3,1,100000000,610000002093,
1028,,Spine,3,0,Image 1,1,1,100000000,610000002101,
1254,,Spine,3,2,Image 1,2,1,100000001,610000002112,
286,,Spine,3,0,Image 1,1,1,100000001,610000002116,
465,,Spine,3,0,Image 1,1,1,100000001,610000002121,
154,,Spine,3,0,Image 1,1,1,100000000,610000002124,
337,,Spine,3,0,Image 1,1,1,100000001,610000002127,
348,,Spine,3,0,Image 1,1,1,100000001,610000002131,
360,,Spine,3,0,Image 1,1,1,100000001,610000002134,
190,,Spine,3,0,Image 1,1,1,100000001,610000002137,
369,,Spine,3,0,Image 1,1,1,100000001,610000002142,
314,,Spine,3,0,Image 1,1,1,100000000,610000002146,
429,,Spine,3,0,Image 1,1,1,100000000,610000002149,
349,,Spine,3,0,Image 1,1,1,100000000,610000002152,
188,,Spine,3,3,Image 1,2,1,100000000,610000002154,
172,,Spine,3,0,Image 1,1,1,100000001,610000002156,
202,,Spine,3,0,Image 1,1,1,100000001,610000002158,
299,,Spine,3,0,Image 1,1,1,100000001,610000002161,
547,,Spine,3,0,Image 1,1,1,100000001,610000002165,
377,,Spine,3,0,Image 1,1,1,100000000,610000002168,
355,,Spine,3,0,Image 1,1,1,100000000,610000002171,
169,,Spine,3,0,Image 1,1,1,100000001,610000002173,
187,,Spine,3,0,Image 1,1,1,100000001,610000002175,
262,,Spine,3,0,Image 1,1,1,100000001,610000002178,
78,,Spine,3,0,Image 1,1,1,100000000,610000002182,
430,,Spine,3,0,Image 1,1,1,100000000,610000002184,
416,,Spine,3,0,Image 1,1,1,100000001,610000002187,
396,,Spine,3,2,Image 1,1,1,100000000,610000002191,
221,,Spine,3,0,Image 1,1,1,100000000,610000002194,
159,,Spine,3,0,Image 1,1,1,100000001,610000002197,
285,,Spine,3,0,Image 1,1,1,100000000,610000002199,
599,,Spine,3,2,Image 1,2,1,100000001,610000002205,
250,,Spine,3,0,Image 1,1,1,100000001,610000002212,
482,,Spine,3,0,Image 1,1,1,100000000,610000002217,
28,,Spine,3,0,Image 1,1,1,100000000,610000002246,
220,,Spine,3,2,Image 1,1,1,100000000,610000002247,
305,,Spine,3,2,Image 1,1,1,100000000,610000002248,
198,,Spine,3,1,Image 1,2,1,100000000,610000002249,
17,,Spine,3,0,Image 1,1,1,100000000,610000002250,
74,,Spine,3,0,Image 1,1,1,100000000,610000002251,
120,,Spine,3,0,Image 1,1,1,100000000,610000002252,
61,,Spine,3,0,Image 1,1,1,100000000,610000002253,
77,,Spine,3,6,Image 1,3,1,100000000,610000002254,
38,,Spine,3,6,Image 1,1,1,100000000,610000002255,
107,,Spine,3,5,Image 1,3,1,100000000,610000002256,
155,,Spine,3,3,Image 1,2,1,100000000,610000002257,
328,,Spine,3,0,Image 1,1,1,100000000,610000002258,
227,,Spine,3,0,Image 1,1,1,100000000,610000002259,
91,,Spine,3,0,Image 1,1,1,100000000,610000002260,
278,,Spine,3,2,Image 1,2,1,100000001,610000002265,
221,,Spine,3,2,Image 1,1,1,100000001,610000002266,
60,,Spine,3,2,Image 1,3,1,100000001,610000002271,
274,,Spine,3,0,Image 1,1,1,100000001,610000002276,
274,,Spine,3,0,Image 1,1,1,100000001,610000002277,
324,,Spine,3,0,Image 1,1,1,100000001,610000002278,
77,,Spine,3,0,Image 1,1,1,100000001,610000002284,
76,,Spine,3,0,Image 1,1,1,100000001,610000002285,
111,,Spine,3,0,Image 1,1,1,100000001,610000002286,
235,,Spine,3,0,Image 1,1,1,100000001,610000002291,
