
Spine Part Volume Head
 ==================== 
Spine Part Volume Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.142566,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001938,
0.018938,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000001940,
0.655822,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001949,
0.370775,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001956,
0.122499,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001967,
0.0848441,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001974,
0.109211,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001984,
0.0845754,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001990,
0.282381,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000001995,
0.295907,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000001998,
0.0963871,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002005,
0.0684801,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002013,
0.0955307,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002019,
0.0719779,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002026,
0.0983492,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002032,
0.103348,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002040,
0.127296,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002044,
0.595078,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000002059,
0.0718655,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002065,
2.23161,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002071,
0.562826,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002075,
0.0890532,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002081,
0.0496523,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002085,
0.0805655,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002090,
0.046706,µm^3,Spine,Spine Part Volume,5,3,1,100000000,610000002093,
0.447269,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002101,
0.511781,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000002112,
0.375677,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002116,
5.42915,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002121,
0.0496523,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002124,
0.352189,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002127,
0.172053,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002131,
0.562826,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002134,
0.240181,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002137,
3.13903,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002142,
0.018938,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002146,
0.018938,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002149,
0.767366,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002152,
0.037818,µm^3,Spine,Spine Part Volume,3,2,1,100000000,610000002154,
0.0730142,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002156,
0.107031,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002158,
0.720716,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002161,
1.38614,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002165,
0.165301,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002168,
0.0194122,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002171,
0.562826,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002173,
0.31052,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002175,
0.0346345,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002178,
0.0932351,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002182,
0.366896,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002184,
1.38992,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002187,
0.211604,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000002191,
0.018938,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002194,
1.08205,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002197,
0.018938,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002199,
0.235015,µm^3,Spine,Spine Part Volume,2,2,1,100000001,610000002205,
0.120213,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000002212,
0.151504,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002217,
0.0243331,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002246,
0.232389,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000002247,
0.630979,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000002248,
0.597961,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000002249,
0.0281037,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002250,
0.0626061,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002251,
0.0650333,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000002252,
