
Spine Orientation Angle
 ==================== 
Spine Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
27.9496,°,Spine,0,1,1,100000000,610000001938,
-157.38,°,Spine,3,1,1,100000000,610000001940,
19.9614,°,Spine,0,1,1,100000000,610000001949,
25.9065,°,Spine,0,1,1,100000000,610000001956,
-59.1559,°,Spine,0,1,1,100000000,610000001967,
133.146,°,Spine,0,1,1,100000000,610000001974,
60.3496,°,Spine,0,1,1,100000000,610000001984,
140.901,°,Spine,0,1,1,100000000,610000001990,
116.751,°,Spine,5,3,1,100000000,610000001995,
-92.925,°,Spine,0,1,1,100000000,610000001998,
-44.029,°,Spine,0,1,1,100000000,610000002005,
63.0141,°,Spine,0,1,1,100000000,610000002013,
-118.072,°,Spine,0,1,1,100000000,610000002019,
46.9134,°,Spine,0,1,1,100000000,610000002026,
65.0689,°,Spine,0,1,1,100000000,610000002032,
-54.2164,°,Spine,0,1,1,100000000,610000002040,
-14.311,°,Spine,0,1,1,100000001,610000002044,
179.214,°,Spine,2,2,1,100000001,610000002059,
58.8342,°,Spine,0,1,1,100000000,610000002065,
-44.1156,°,Spine,0,1,1,100000000,610000002071,
-29.6831,°,Spine,0,1,1,100000001,610000002075,
-148.847,°,Spine,0,1,1,100000000,610000002081,
2.62383,°,Spine,0,1,1,100000000,610000002085,
136.414,°,Spine,0,1,1,100000000,610000002090,
94.8478,°,Spine,5,3,1,100000000,610000002093,
68.3109,°,Spine,0,1,1,100000000,610000002101,
171.888,°,Spine,2,2,1,100000001,610000002112,
-32.0054,°,Spine,0,1,1,100000001,610000002116,
-166.373,°,Spine,0,1,1,100000001,610000002121,
19.2668,°,Spine,0,1,1,100000000,610000002124,
-94.588,°,Spine,0,1,1,100000001,610000002127,
163.004,°,Spine,0,1,1,100000001,610000002131,
-11.913,°,Spine,0,1,1,100000001,610000002134,
86.4483,°,Spine,0,1,1,100000001,610000002137,
-160.115,°,Spine,0,1,1,100000001,610000002142,
55.2842,°,Spine,0,1,1,100000000,610000002146,
-27.4962,°,Spine,0,1,1,100000000,610000002149,
56.1773,°,Spine,0,1,1,100000000,610000002152,
135.401,°,Spine,3,2,1,100000000,610000002154,
125.177,°,Spine,0,1,1,100000001,610000002156,
24.7751,°,Spine,0,1,1,100000001,610000002158,
-129.728,°,Spine,0,1,1,100000001,610000002161,
137.212,°,Spine,0,1,1,100000001,610000002165,
21.2028,°,Spine,0,1,1,100000000,610000002168,
56.7771,°,Spine,0,1,1,100000000,610000002171,
-12.3625,°,Spine,0,1,1,100000001,610000002173,
141.423,°,Spine,0,1,1,100000001,610000002175,
-69.1576,°,Spine,0,1,1,100000001,610000002178,
82.875,°,Spine,0,1,1,100000000,610000002182,
17.4923,°,Spine,0,1,1,100000000,610000002184,
-102.014,°,Spine,0,1,1,100000001,610000002187,
-116.772,°,Spine,2,1,1,100000000,610000002191,
15.2852,°,Spine,0,1,1,100000000,610000002194,
112.212,°,Spine,0,1,1,100000001,610000002197,
130.965,°,Spine,0,1,1,100000000,610000002199,
-175.116,°,Spine,2,2,1,100000001,610000002205,
54.3129,°,Spine,0,1,1,100000001,610000002212,
19.898,°,Spine,0,1,1,100000000,610000002217,
49.8396,°,Spine,0,1,1,100000000,610000002246,
88.1817,°,Spine,2,1,1,100000000,610000002247,
-136.045,°,Spine,2,1,1,100000000,610000002248,
-69.7751,°,Spine,1,2,1,100000000,610000002249,
19.7899,°,Spine,0,1,1,100000000,610000002250,
-135.173,°,Spine,0,1,1,100000000,610000002251,
-147.724,°,Spine,0,1,1,100000000,610000002252,
107.025,°,Spine,0,1,1,100000000,610000002253,
101.457,°,Spine,6,3,1,100000000,610000002254,
26.2742,°,Spine,6,1,1,100000000,610000002255,
78.4519,°,Spine,5,3,1,100000000,610000002256,
135.852,°,Spine,3,2,1,100000000,610000002257,
33.371,°,Spine,0,1,1,100000000,610000002258,
174.184,°,Spine,0,1,1,100000000,610000002259,
64.5758,°,Spine,0,1,1,100000000,610000002260,
-166.995,°,Spine,2,2,1,100000001,610000002265,
-167.25,°,Spine,2,1,1,100000001,610000002266,
96.5366,°,Spine,2,3,1,100000001,610000002271,
-165.68,°,Spine,0,1,1,100000001,610000002276,
153.741,°,Spine,0,1,1,100000001,610000002277,
85.3331,°,Spine,0,1,1,100000001,610000002278,
-69.9048,°,Spine,0,1,1,100000001,610000002284,
-66.1317,°,Spine,0,1,1,100000001,610000002285,
-105.618,°,Spine,0,1,1,100000001,610000002286,
-65.295,°,Spine,0,1,1,100000001,610000002291,
