
Soma BoundingBoxOO Length B
 ==================== 
Soma BoundingBoxOO Length B,Unit,Category,Collection,Time,FilamentID,ID,
3.03223,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
2.69141,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
2.32178,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
3.47266,µm,Soma,Soma BoundingBoxOO Length,1,100000003,800000003,
2.26953,µm,Soma,Soma BoundingBoxOO Length,1,100000004,800000004,
2.75781,µm,Soma,Soma BoundingBoxOO Length,1,100000005,800000005,
1.52112,µm,Soma,Soma BoundingBoxOO Length,1,100000006,800000006,
1.14941,µm,Soma,Soma BoundingBoxOO Length,1,100000007,800000007,
