
Spine Terminal Pt Distance from Origin
 ==================== 
Spine Terminal Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
28566.5,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001968,
28564.9,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000000,610000001976,
28578.8,µm,Spine,Spine Terminal Pt Distance from Origin,5,6,1,100000000,610000001978,
28569.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000002,610000001982,
28565.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000001984,
28574,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000000,610000001989,
28573.5,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000000,610000001994,
28563.2,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000003,610000001996,
28573.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,3,1,100000000,610000002007,
28570,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,100000006,610000002009,
28569.2,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000000,610000002058,
28579.1,µm,Spine,Spine Terminal Pt Distance from Origin,4,5,1,100000000,610000002060,
28569.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000002062,
28570.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,100000006,610000002078,
28565.3,µm,Spine,Spine Terminal Pt Distance from Origin,2,1,1,100000004,610000002080,
28569,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000002088,
28567.5,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,100000000,610000002092,
28592.1,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000002096,
28565.6,µm,Spine,Spine Terminal Pt Distance from Origin,5,4,1,100000000,610000002113,
28570.8,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000002132,
28561.8,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,100000004,610000002139,
28562,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000002248,
28571.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000002248,
28579,µm,Spine,Spine Terminal Pt Distance from Origin,5,6,1,,610000002248,
28561.4,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000002249,
28570.8,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000002249,
28588.2,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000002249,
28550.8,µm,Spine,Spine Terminal Pt Distance from Origin,3,2,1,,610000002249,
28579.2,µm,Spine,Spine Terminal Pt Distance from Origin,5,5,1,,610000002249,
28561.5,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000002250,
28546.7,µm,Spine,Spine Terminal Pt Distance from Origin,2,3,1,,610000002250,
28578.8,µm,Spine,Spine Terminal Pt Distance from Origin,4,5,1,,610000002250,
28590.6,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000002250,
28561.6,µm,Spine,Spine Terminal Pt Distance from Origin,2,2,1,,610000002251,
28578.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,5,1,,610000002251,
28575.3,µm,Spine,Spine Terminal Pt Distance from Origin,1,2,1,,610000002252,
28573.3,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000002253,
28573.4,µm,Spine,Spine Terminal Pt Distance from Origin,1,1,1,,610000002254,
28565.3,µm,Spine,Spine Terminal Pt Distance from Origin,,,1,,610000002254,
28569.7,µm,Spine,Spine Terminal Pt Distance from Origin,0,1,1,,610000002256,
28565.6,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,,610000002257,
28565.3,µm,Spine,Spine Terminal Pt Distance from Origin,4,3,1,,610000002258,
28565.4,µm,Spine,Spine Terminal Pt Distance from Origin,5,3,1,,610000002259,
