
Spine Center Intensity Min Ch=2 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
30,,Spine,2,0,Image 1,1,1,100000002,610000001972,
18,,Spine,2,4,Image 1,3,1,100000000,610000001976,
17,,Spine,2,5,Image 1,6,1,100000000,610000001978,
15,,Spine,2,0,Image 1,1,1,100000002,610000001982,
22,,Spine,2,0,Image 1,1,1,100000002,610000001987,
23,,Spine,2,1,Image 1,1,1,100000000,610000001989,
16,,Spine,2,3,Image 1,3,1,100000000,610000001994,
11,,Spine,2,0,Image 1,1,1,100000003,610000001996,
100,,Spine,2,4,Image 1,3,1,100000000,610000002004,
25,,Spine,2,3,Image 1,3,1,100000000,610000002007,
17,,Spine,2,1,Image 1,1,1,100000006,610000002009,
72,,Spine,2,4,Image 1,3,1,100000000,610000002016,
98,,Spine,2,4,Image 1,3,1,100000000,610000002023,
55,,Spine,2,1,Image 1,2,1,100000004,610000002025,
70,,Spine,2,4,Image 1,3,1,100000000,610000002031,
98,,Spine,2,4,Image 1,3,1,100000000,610000002037,
76,,Spine,2,4,Image 1,3,1,100000000,610000002043,
77,,Spine,2,0,Image 1,1,1,100000007,610000002050,
72,,Spine,2,4,Image 1,3,1,100000000,610000002056,
35,,Spine,2,2,Image 1,2,1,100000000,610000002058,
17,,Spine,2,4,Image 1,5,1,100000000,610000002060,
30,,Spine,2,4,Image 1,3,1,100000000,610000002063,
76,,Spine,2,4,Image 1,3,1,100000000,610000002068,
100,,Spine,2,4,Image 1,3,1,100000000,610000002075,
51,,Spine,2,0,Image 1,1,1,100000006,610000002078,
34,,Spine,2,2,Image 1,1,1,100000004,610000002080,
61,,Spine,2,4,Image 1,3,1,100000000,610000002086,
39,,Spine,2,4,Image 1,3,1,100000000,610000002090,
39,,Spine,2,4,Image 1,3,1,100000000,610000002092,
17,,Spine,2,1,Image 1,2,1,100000007,610000002097,
59,,Spine,2,4,Image 1,3,1,100000000,610000002101,
85,,Spine,2,4,Image 1,3,1,100000000,610000002104,
21,,Spine,2,1,Image 1,2,1,100000007,610000002106,
103,,Spine,2,4,Image 1,3,1,100000000,610000002110,
16,,Spine,2,5,Image 1,4,1,100000000,610000002113,
64,,Spine,2,4,Image 1,3,1,100000000,610000002118,
144,,Spine,2,4,Image 1,3,1,100000000,610000002123,
99,,Spine,2,4,Image 1,3,1,100000000,610000002126,
111,,Spine,2,1,Image 1,1,1,100000006,610000002130,
82,,Spine,2,4,Image 1,3,1,100000000,610000002133,
80,,Spine,2,2,Image 1,2,1,100000004,610000002139,
121,,Spine,2,4,Image 1,3,1,100000000,610000002141,
83,,Spine,2,4,Image 1,3,1,100000000,610000002144,
109,,Spine,2,4,Image 1,3,1,100000000,610000002147,
82,,Spine,2,4,Image 1,3,1,100000000,610000002149,
70,,Spine,2,4,Image 1,3,1,100000000,610000002151,
56,,Spine,2,0,Image 1,1,1,100000000,610000002154,
91,,Spine,2,4,Image 1,3,1,100000000,610000002156,
77,,Spine,2,4,Image 1,3,1,100000000,610000002159,
118,,Spine,2,4,Image 1,3,1,100000000,610000002161,
114,,Spine,2,1,Image 1,2,1,100000007,610000002163,
77,,Spine,2,4,Image 1,3,1,100000000,610000002167,
32,,Spine,2,0,Image 1,1,1,100000003,610000002177,
167,,Spine,2,1,Image 1,2,1,100000007,610000002192,
24,,Spine,2,1,Image 1,1,1,100000000,610000002199,
63,,Spine,2,1,Image 1,1,1,100000000,610000002200,
26,,Spine,2,5,Image 1,6,1,100000000,610000002201,
29,,Spine,2,5,Image 1,5,1,100000000,610000002202,
61,,Spine,2,4,Image 1,5,1,100000000,610000002203,
15,,Spine,2,4,Image 1,5,1,100000000,610000002204,
31,,Spine,2,1,Image 1,2,1,100000000,610000002205,
70,,Spine,2,5,Image 1,3,1,100000000,610000002213,
37,,Spine,2,4,Image 1,3,1,100000000,610000002214,
44,,Spine,2,4,Image 1,3,1,100000000,610000002215,
36,,Spine,2,0,Image 1,1,1,100000000,610000002216,
103,,Spine,2,0,Image 1,1,1,100000000,610000002217,
14,,Spine,2,2,Image 1,2,1,100000003,610000002230,
57,,Spine,2,2,Image 1,2,1,100000004,610000002235,
22,,Spine,2,2,Image 1,2,1,100000004,610000002236,
65,,Spine,2,2,Image 1,2,1,100000004,610000002237,
34,,Spine,2,2,Image 1,2,1,100000004,610000002238,
87,,Spine,2,1,Image 1,1,1,100000004,610000002239,
7,,Spine,2,1,Image 1,2,1,100000004,610000002240,
35,,Spine,2,3,Image 1,2,1,100000005,610000002241,
37,,Spine,2,2,Image 1,2,1,100000005,610000002242,
34,,Spine,2,2,Image 1,3,1,100000005,610000002243,
60,,Spine,2,0,Image 1,1,1,100000006,610000002244,
85,,Spine,2,0,Image 1,1,1,100000006,610000002245,
51,,Spine,2,1,Image 1,2,1,100000007,610000002246,
102,,Spine,2,0,Image 1,1,1,100000007,610000002247,
