
Soma Intensity Max Ch=1 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
13,,Soma,1,Image 1,1,100000000,800000000,
88,,Soma,1,Image 1,1,100000001,800000001,
87,,Soma,1,Image 1,1,100000002,800000002,
79,,Soma,1,Image 1,1,100000003,800000003,
112,,Soma,1,Image 1,1,100000004,800000004,
86,,Soma,1,Image 1,1,100000005,800000005,
138,,Soma,1,Image 1,1,100000006,800000006,
24,,Soma,1,Image 1,1,100000007,800000007,
