
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
170,,Surface,5,Image 1,1,0,
159,,Surface,5,Image 1,1,1,
204,,Surface,5,Image 1,1,2,
