
Soma Center of Image Mass Z
 ==================== 
Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
1374.81,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1374.92,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1374.92,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1374.33,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1374.33,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
1376.22,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1376.07,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1376.07,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1376.61,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1376.61,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
1373.44,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1373.52,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1373.52,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1373.25,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
1373.25,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
