
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
4.12528,,Surface,4,Image 1,1,0,
11.175,,Surface,4,Image 1,1,1,
12.1471,,Surface,4,Image 1,1,2,
