
Spine Part Length Neck
 ==================== 
Spine Part Length Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.148092,µm,Spine,Spine Part Length,2,3,1,100000001,610000002265,
0,µm,Spine,Spine Part Length,5,2,1,100000000,610000002269,
0,µm,Spine,Spine Part Length,2,2,1,100000001,610000002272,
0,µm,Spine,Spine Part Length,1,2,1,100000002,610000002276,
0.133857,µm,Spine,Spine Part Length,3,2,1,100000002,610000002279,
0.181053,µm,Spine,Spine Part Length,2,1,1,100000000,610000002282,
0.11419,µm,Spine,Spine Part Length,6,4,1,100000002,610000002285,
0,µm,Spine,Spine Part Length,3,3,1,100000001,610000002287,
0.128308,µm,Spine,Spine Part Length,3,1,1,100000002,610000002293,
0.142339,µm,Spine,Spine Part Length,0,1,1,100000001,610000002296,
0.0768524,µm,Spine,Spine Part Length,5,2,1,100000000,610000002299,
0.0842341,µm,Spine,Spine Part Length,1,2,1,100000002,610000002302,
0,µm,Spine,Spine Part Length,5,2,1,100000000,610000002306,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002308,
0,µm,Spine,Spine Part Length,1,2,1,100000002,610000002313,
0,µm,Spine,Spine Part Length,0,1,1,100000002,610000002316,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002319,
0,µm,Spine,Spine Part Length,3,3,1,100000001,610000002321,
0.160799,µm,Spine,Spine Part Length,0,1,1,100000001,610000002326,
0.139844,µm,Spine,Spine Part Length,4,1,1,100000000,610000002329,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002331,
0,µm,Spine,Spine Part Length,5,3,1,100000002,610000002333,
0,µm,Spine,Spine Part Length,4,1,1,100000000,610000002335,
0,µm,Spine,Spine Part Length,6,4,1,100000002,610000002340,
0.148641,µm,Spine,Spine Part Length,2,3,1,100000000,610000002344,
0,µm,Spine,Spine Part Length,5,4,1,100000002,610000002346,
0.133889,µm,Spine,Spine Part Length,3,1,1,100000002,610000002350,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002356,
0.123963,µm,Spine,Spine Part Length,3,1,1,100000002,610000002360,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002362,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002365,
0,µm,Spine,Spine Part Length,1,2,1,100000002,610000002367,
0,µm,Spine,Spine Part Length,0,1,1,100000000,610000002370,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002373,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002377,
0.132559,µm,Spine,Spine Part Length,2,3,1,100000000,610000002381,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002384,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002387,
0,µm,Spine,Spine Part Length,3,1,1,100000002,610000002392,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002394,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002397,
0.111321,µm,Spine,Spine Part Length,2,3,1,100000000,610000002403,
0,µm,Spine,Spine Part Length,1,1,1,100000002,610000002407,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002409,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002411,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002413,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002416,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002419,
0.1208,µm,Spine,Spine Part Length,0,1,1,100000001,610000002422,
0,µm,Spine,Spine Part Length,0,1,1,100000001,610000002424,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002428,
0,µm,Spine,Spine Part Length,5,2,1,100000000,610000002430,
0,µm,Spine,Spine Part Length,3,1,1,100000002,610000002432,
0,µm,Spine,Spine Part Length,2,3,1,100000000,610000002436,
