
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-2.244,0.489612,µm^3,Volume,Image 1,1,,
-2.108,1.4663,µm^3,Volume,Image 1,1,,
-1.972,3.22933,µm^3,Volume,Image 1,1,,
-1.836,6.22271,µm^3,Volume,Image 1,1,,
-1.7,11.2585,µm^3,Volume,Image 1,1,,
-1.564,19.7415,µm^3,Volume,Image 1,1,,
-1.428,28.6258,µm^3,Volume,Image 1,1,,
-1.292,39.3576,µm^3,Volume,Image 1,1,,
-1.156,51.3016,µm^3,Volume,Image 1,1,,
-1.02,59.227,µm^3,Volume,Image 1,1,,
-0.884,69.5869,µm^3,Volume,Image 1,1,,
-0.748,82.3392,µm^3,Volume,Image 1,1,,
-0.612,88.5657,µm^3,Volume,Image 1,1,,
-0.476,99.2173,µm^3,Volume,Image 1,1,,
-0.34,112.265,µm^3,Volume,Image 1,1,,
-0.204,113.342,µm^3,Volume,Image 1,1,,
-0.0680001,119.526,µm^3,Volume,Image 1,1,,
0.0679998,128.286,µm^3,Volume,Image 1,1,,
0.204,116.399,µm^3,Volume,Image 1,1,,
0.34,115.362,µm^3,Volume,Image 1,1,,
0.476,105.277,µm^3,Volume,Image 1,1,,
0.612,103.24,µm^3,Volume,Image 1,1,,
0.748,103.594,µm^3,Volume,Image 1,1,,
0.884,100.04,µm^3,Volume,Image 1,1,,
1.02,99.1873,µm^3,Volume,Image 1,1,,
1.156,98.5052,µm^3,Volume,Image 1,1,,
1.292,96.5232,µm^3,Volume,Image 1,1,,
1.428,95.2611,µm^3,Volume,Image 1,1,,
1.564,93.9907,µm^3,Volume,Image 1,1,,
1.7,93.1022,µm^3,Volume,Image 1,1,,
1.836,91.7668,µm^3,Volume,Image 1,1,,
1.972,90.644,µm^3,Volume,Image 1,1,,
2.108,89.0684,µm^3,Volume,Image 1,1,,
2.244,88.334,µm^3,Volume,Image 1,1,,
2.38,86.9373,µm^3,Volume,Image 1,1,,
2.516,85.8201,µm^3,Volume,Image 1,1,,
2.652,84.5847,µm^3,Volume,Image 1,1,,
2.788,84.1622,µm^3,Volume,Image 1,1,,
2.924,83.1686,µm^3,Volume,Image 1,1,,
3.06,82.5794,µm^3,Volume,Image 1,1,,
3.196,81.3089,µm^3,Volume,Image 1,1,,
3.332,80.0646,µm^3,Volume,Image 1,1,,
3.468,79.166,µm^3,Volume,Image 1,1,,
3.604,78.2172,µm^3,Volume,Image 1,1,,
3.74,77.1117,µm^3,Volume,Image 1,1,,
3.876,76.6086,µm^3,Volume,Image 1,1,,
4.012,75.8172,µm^3,Volume,Image 1,1,,
4.148,75.35,µm^3,Volume,Image 1,1,,
4.284,74.7966,µm^3,Volume,Image 1,1,,
4.42,74.3556,µm^3,Volume,Image 1,1,,
4.556,74.5113,µm^3,Volume,Image 1,1,,
4.692,74.7869,µm^3,Volume,Image 1,1,,
4.828,74.8203,µm^3,Volume,Image 1,1,,
4.964,74.8076,µm^3,Volume,Image 1,1,,
5.1,74.7152,µm^3,Volume,Image 1,1,,
5.236,74.4598,µm^3,Volume,Image 1,1,,
5.372,75.1208,µm^3,Volume,Image 1,1,,
5.508,75.6952,µm^3,Volume,Image 1,1,,
5.644,75.9185,µm^3,Volume,Image 1,1,,
5.78,76.111,µm^3,Volume,Image 1,1,,
5.916,76.0021,µm^3,Volume,Image 1,1,,
6.052,76.742,µm^3,Volume,Image 1,1,,
6.188,77.3401,µm^3,Volume,Image 1,1,,
6.324,77.674,µm^3,Volume,Image 1,1,,
6.46,77.7356,µm^3,Volume,Image 1,1,,
6.596,77.6267,µm^3,Volume,Image 1,1,,
6.732,78.4666,µm^3,Volume,Image 1,1,,
6.868,79.1934,µm^3,Volume,Image 1,1,,
7.004,79.7468,µm^3,Volume,Image 1,1,,
7.14,80.2199,µm^3,Volume,Image 1,1,,
7.276,80.1613,µm^3,Volume,Image 1,1,,
7.412,79.8422,µm^3,Volume,Image 1,1,,
7.548,79.7928,µm^3,Volume,Image 1,1,,
7.684,78.2252,µm^3,Volume,Image 1,1,,
7.82,75.515,µm^3,Volume,Image 1,1,,
7.956,72.8074,µm^3,Volume,Image 1,1,,
8.092,70.0698,µm^3,Volume,Image 1,1,,
8.228,68.5587,µm^3,Volume,Image 1,1,,
8.364,68.1442,µm^3,Volume,Image 1,1,,
8.5,66.9388,µm^3,Volume,Image 1,1,,
8.636,66.4255,µm^3,Volume,Image 1,1,,
8.772,64.9508,µm^3,Volume,Image 1,1,,
8.908,64.2345,µm^3,Volume,Image 1,1,,
9.044,64.5,µm^3,Volume,Image 1,1,,
9.18,63.7382,µm^3,Volume,Image 1,1,,
9.316,63.601,µm^3,Volume,Image 1,1,,
9.452,62.4825,µm^3,Volume,Image 1,1,,
9.588,62.0667,µm^3,Volume,Image 1,1,,
9.724,62.4968,µm^3,Volume,Image 1,1,,
9.86,61.9443,µm^3,Volume,Image 1,1,,
9.996,62.0853,µm^3,Volume,Image 1,1,,
10.132,61.3809,µm^3,Volume,Image 1,1,,
10.268,61.2627,µm^3,Volume,Image 1,1,,
10.404,59.8618,µm^3,Volume,Image 1,1,,
10.54,58.5757,µm^3,Volume,Image 1,1,,
10.676,57.7522,µm^3,Volume,Image 1,1,,
10.812,55.8368,µm^3,Volume,Image 1,1,,
10.948,54.3959,µm^3,Volume,Image 1,1,,
11.084,52.3133,µm^3,Volume,Image 1,1,,
11.22,51.061,µm^3,Volume,Image 1,1,,
11.356,50.6022,µm^3,Volume,Image 1,1,,
11.492,49.3643,µm^3,Volume,Image 1,1,,
11.628,48.6298,µm^3,Volume,Image 1,1,,
