
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1.41421,,Segment,1,5,Image 1,2,1,100000001,510000000007,
1.90292,,Segment,1,4,Image 1,2,1,100000001,510000000022,
3.51568,,Segment,1,3,Image 1,2,1,100000001,510000000031,
20.8994,,Segment,1,2,Image 1,2,1,100000001,510000000103,
24.5543,,Segment,1,1,Image 1,1,1,100000001,510000000111,
8.63481,,Segment,1,0,Image 1,1,1,100000001,510000000142,
4.38229,,Segment,1,3,Image 1,3,1,100000001,510000000193,
2.05039,,Segment,1,5,Image 1,3,1,100000001,510000000199,
19.1937,,Segment,1,4,Image 1,3,1,100000001,510000000203,
17.3669,,Segment,1,7,Image 1,3,1,100000002,510000000268,
1.49478,,Segment,1,6,Image 1,3,1,100000002,510000000275,
11.7469,,Segment,1,5,Image 1,3,1,100000002,510000000305,
1.17216,,Segment,1,3,Image 1,2,1,100000002,510000000324,
1.24722,,Segment,1,2,Image 1,2,1,100000002,510000000326,
1.27775,,Segment,1,1,Image 1,2,1,100000002,510000000332,
2.83261,,Segment,1,0,Image 1,1,1,100000002,510000000352,
17.4324,,Segment,1,7,Image 1,5,1,100000002,510000000384,
2.49844,,Segment,1,6,Image 1,4,1,100000002,510000000400,
1.29904,,Segment,1,7,Image 1,4,1,100000002,510000000403,
18.732,,Segment,1,7,Image 1,4,1,100000002,510000000408,
2.64867,,Segment,1,5,Image 1,2,1,100000000,510000000425,
1.69834,,Segment,1,4,Image 1,1,1,100000000,510000000445,
0.638877,,Segment,1,3,Image 1,1,1,100000000,510000000451,
2.22611,,Segment,1,2,Image 1,1,1,100000000,510000000480,
1.44436,,Segment,1,1,Image 1,1,1,100000000,510000000500,
1.16619,,Segment,1,0,Image 1,1,1,100000000,510000000537,
0.829156,,Segment,1,5,Image 1,1,1,100000000,510000000540,
1.05327,,Segment,1,4,Image 1,2,1,100000000,510000000547,
35.5568,,Segment,1,3,Image 1,2,1,100000000,510000000553,
3.28281,,Segment,1,2,Image 1,2,1,100000000,510000000563,
2.62467,,Segment,1,1,Image 1,2,1,100000000,510000000568,
1.34484,,Segment,1,5,Image 1,3,1,100000000,510000000583,
2.1204,,Segment,1,4,Image 1,2,1,100000000,510000000598,
1.8085,,Segment,1,3,Image 1,2,1,100000000,510000000641,
1.23892,,Segment,1,2,Image 1,2,1,100000000,510000000715,
0.496904,,Segment,1,1,Image 1,1,1,100000000,510000000723,
