
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Segment,3,5,Image 1,2,1,100000001,510000000007,
16,,Segment,3,4,Image 1,2,1,100000001,510000000022,
10,,Segment,3,3,Image 1,2,1,100000001,510000000031,
59,,Segment,3,2,Image 1,2,1,100000001,510000000103,
9,,Segment,3,1,Image 1,1,1,100000001,510000000111,
25,,Segment,3,0,Image 1,1,1,100000001,510000000142,
39,,Segment,3,3,Image 1,3,1,100000001,510000000193,
7,,Segment,3,5,Image 1,3,1,100000001,510000000199,
5,,Segment,3,4,Image 1,3,1,100000001,510000000203,
66,,Segment,3,7,Image 1,3,1,100000002,510000000268,
8,,Segment,3,6,Image 1,3,1,100000002,510000000275,
31,,Segment,3,5,Image 1,3,1,100000002,510000000305,
19,,Segment,3,3,Image 1,2,1,100000002,510000000324,
3,,Segment,3,2,Image 1,2,1,100000002,510000000326,
7,,Segment,3,1,Image 1,2,1,100000002,510000000332,
13,,Segment,3,0,Image 1,1,1,100000002,510000000352,
6,,Segment,3,7,Image 1,5,1,100000002,510000000384,
17,,Segment,3,6,Image 1,4,1,100000002,510000000400,
4,,Segment,3,7,Image 1,4,1,100000002,510000000403,
6,,Segment,3,7,Image 1,4,1,100000002,510000000408,
18,,Segment,3,5,Image 1,2,1,100000000,510000000425,
21,,Segment,3,4,Image 1,1,1,100000000,510000000445,
7,,Segment,3,3,Image 1,1,1,100000000,510000000451,
30,,Segment,3,2,Image 1,1,1,100000000,510000000480,
21,,Segment,3,1,Image 1,1,1,100000000,510000000500,
10,,Segment,3,0,Image 1,1,1,100000000,510000000537,
4,,Segment,3,5,Image 1,1,1,100000000,510000000540,
8,,Segment,3,4,Image 1,2,1,100000000,510000000547,
7,,Segment,3,3,Image 1,2,1,100000000,510000000553,
11,,Segment,3,2,Image 1,2,1,100000000,510000000563,
6,,Segment,3,1,Image 1,2,1,100000000,510000000568,
16,,Segment,3,5,Image 1,3,1,100000000,510000000583,
