
Soma BoundingBoxAA Length Y
 ==================== 
Soma BoundingBoxAA Length Y,Unit,Category,Collection,Time,FilamentID,ID,
4.35156,µm,Soma,Soma BoundingBoxAA Length,1,100000000,800000000,
3.11719,µm,Soma,Soma BoundingBoxAA Length,1,100000001,800000001,
1.88281,µm,Soma,Soma BoundingBoxAA Length,1,100000002,800000002,
