
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,3,1,1,100000000,610000003483,
0.416667,µm,Spine,7,3,1,100000000,610000003490,
0.416667,µm,Spine,7,3,1,100000002,610000003495,
0.416667,µm,Spine,7,3,1,100000002,610000003499,
0.596065,µm,Spine,4,3,1,100000002,610000003504,
0.493241,µm,Spine,3,2,1,100000000,610000003516,
0.624855,µm,Spine,6,2,1,100000002,610000003519,
0.891927,µm,Spine,5,3,1,100000001,610000003522,
1.34551,µm,Spine,0,1,1,100000000,610000003526,
1.06771,µm,Spine,0,1,1,100000000,610000003530,
0.579427,µm,Spine,0,1,1,100000002,610000003535,
0.960544,µm,Spine,6,2,1,100000002,610000003539,
1.29142,µm,Spine,2,2,1,100000001,610000003541,
0.891927,µm,Spine,6,2,1,100000002,610000003548,
1.10716,µm,Spine,1,1,1,100000001,610000003553,
0.784762,µm,Spine,14,8,1,100000001,610000003556,
0.940787,µm,Spine,10,5,1,100000001,610000003559,
0.829729,µm,Spine,7,3,1,100000002,610000003565,
0.755642,µm,Spine,6,2,1,100000002,610000003569,
0.786527,µm,Spine,4,3,1,100000001,610000003571,
1.04167,µm,Spine,6,2,1,100000002,610000003576,
1.70399,µm,Spine,6,2,1,100000002,610000003585,
0.494792,µm,Spine,4,3,1,100000000,610000003608,
0.970481,µm,Spine,3,3,1,100000000,610000003609,
0.692053,µm,Spine,12,7,1,100000000,610000003610,
0.504371,µm,Spine,10,6,1,100000000,610000003611,
0.625,µm,Spine,9,5,1,100000000,610000003612,
0.538528,µm,Spine,9,5,1,100000000,610000003613,
0.547357,µm,Spine,9,5,1,100000000,610000003614,
0.419098,µm,Spine,8,4,1,100000000,610000003615,
0.416667,µm,Spine,7,4,1,100000000,610000003616,
0.643171,µm,Spine,6,2,1,100000000,610000003617,
0.947278,µm,Spine,10,5,1,100000001,610000003618,
0.947278,µm,Spine,10,5,1,100000001,610000003619,
0.655651,µm,Spine,7,4,1,100000001,610000003620,
1.15031,µm,Spine,11,7,1,100000001,610000003621,
0.51317,µm,Spine,12,7,1,100000001,610000003622,
0.625,µm,Spine,18,10,1,100000001,610000003623,
0.833333,µm,Spine,18,9,1,100000001,610000003624,
0.689541,µm,Spine,13,7,1,100000001,610000003625,
0.751414,µm,Spine,14,6,1,100000001,610000003626,
1.31859,µm,Spine,13,6,1,100000001,610000003627,
0.585938,µm,Spine,13,6,1,100000001,610000003628,
0.807292,µm,Spine,12,5,1,100000001,610000003629,
0.984099,µm,Spine,9,5,1,100000001,610000003630,
0.552365,µm,Spine,8,4,1,100000001,610000003631,
0.664062,µm,Spine,7,4,1,100000001,610000003632,
0.431407,µm,Spine,6,4,1,100000001,610000003633,
1.94157,µm,Spine,2,2,1,100000001,610000003634,
1.12414,µm,Spine,0,1,1,100000001,610000003635,
0.48293,µm,Spine,2,2,1,100000001,610000003639,
0.763201,µm,Spine,1,2,1,100000002,610000003643,
0.702347,µm,Spine,0,1,1,100000002,610000003644,
0.436279,µm,Spine,4,3,1,100000002,610000003645,
0.800838,µm,Spine,4,3,1,100000002,610000003646,
0.617083,µm,Spine,4,2,1,100000002,610000003647,
1.32368,µm,Spine,0,1,1,100000002,610000003648,
1.08969,µm,Spine,0,1,1,100000002,610000003649,
1.30037,µm,Spine,0,1,1,100000002,610000003650,
1.5257,µm,Spine,0,1,1,100000002,610000003651,
0.811753,µm,Spine,4,3,1,100000002,610000003653,
0.473782,µm,Spine,0,1,1,100000002,610000003654,
0.891927,µm,Spine,6,2,1,100000002,610000003658,
0.934639,µm,Spine,6,2,1,100000002,610000003659,
0.934639,µm,Spine,6,2,1,100000002,610000003660,
1.04306,µm,Spine,4,2,1,100000002,610000003661,
1.21257,µm,Spine,4,2,1,100000002,610000003662,
0.572917,µm,Spine,8,3,1,100000002,610000003663,
0.780047,µm,Spine,8,4,1,100000002,610000003664,
0.859375,µm,Spine,7,4,1,100000002,610000003665,
0.716249,µm,Spine,8,2,1,100000002,610000003666,
1.08442,µm,Spine,0,1,1,100000002,610000003667,
